Date,Open,Close
"Nov 11, 2016",63.5,61.14
"Nov 15, 2016",61.4,58.6
"Nov 16, 2016",60.0,58.35
"Nov 17, 2016",59.9,58.15
"Nov 18, 2016",60.0,56.76
"Nov 21, 2016",57.8,53.82
"Nov 22, 2016",54.75,54.87
"Nov 23, 2016",56.1,56.41
"Nov 24, 2016",57.0,55.22
"Nov 25, 2016",55.9,56.66
"Nov 28, 2016",57.0,57.31
"Nov 29, 2016",57.75,56.86
"Nov 30, 2016",57.15,57.21
"Dec 01, 2016",57.95,56.46
"Dec 02, 2016",56.5,55.12
"Dec 05, 2016",55.8,55.86
"Dec 06, 2016",56.95,56.06
"Dec 07, 2016",56.1,55.37
"Dec 08, 2016",56.0,56.11
"Dec 09, 2016",56.75,56.86
"Dec 12, 2016",56.95,55.56
"Dec 13, 2016",55.5,55.12
"Dec 14, 2016",55.35,54.67
"Dec 15, 2016",54.75,54.47
"Dec 16, 2016",54.75,53.82
"Dec 19, 2016",54.0,53.42
"Dec 20, 2016",54.0,52.28
"Dec 21, 2016",52.8,52.43
"Dec 22, 2016",52.55,51.58
"Dec 23, 2016",51.55,51.68
"Dec 26, 2016",51.7,50.24
"Dec 27, 2016",51.0,51.98
"Dec 28, 2016",52.5,52.03
"Dec 29, 2016",52.95,55.17
"Dec 30, 2016",54.2,53.57
"Jan 02, 2017",54.5,54.07
"Jan 03, 2017",54.3,54.42
"Jan 04, 2017",54.95,54.67
"Jan 05, 2017",55.15,56.81
"Jan 06, 2017",57.15,56.56
"Jan 09, 2017",57.0,55.61
"Jan 10, 2017",56.0,54.87
"Jan 11, 2017",55.4,56.76
"Jan 12, 2017",57.6,57.41
"Jan 13, 2017",57.6,56.61
"Jan 16, 2017",56.95,58.1
"Jan 17, 2017",58.8,58.65
"Jan 18, 2017",58.5,59.0
"Jan 19, 2017",59.3,58.6
"Jan 20, 2017",58.25,57.31
"Jan 23, 2017",57.75,57.31
"Jan 24, 2017",57.9,58.3
"Jan 25, 2017",58.7,58.95
"Jan 27, 2017",59.2,57.11
"Jan 30, 2017",57.0,56.36
"Jan 31, 2017",56.5,54.82
"Feb 01, 2017",54.95,54.77
"Feb 02, 2017",55.0,54.12
"Feb 03, 2017",54.7,54.62
"Feb 06, 2017",55.0,55.32
"Feb 07, 2017",55.55,56.81
"Feb 08, 2017",57.2,57.01
"Feb 09, 2017",57.5,56.66
"Feb 10, 2017",57.2,56.16
"Feb 13, 2017",56.5,55.37
"Feb 14, 2017",55.85,54.67
"Feb 15, 2017",55.35,52.23
"Feb 16, 2017",52.05,52.38
"Feb 17, 2017",53.5,52.88
"Feb 20, 2017",53.3,53.57
"Feb 21, 2017",53.6,53.77
"Feb 22, 2017",54.05,53.08
"Feb 23, 2017",53.1,52.78
"Feb 27, 2017",53.0,52.38
"Feb 28, 2017",52.75,53.08
"Mar 01, 2017",53.8,53.27
"Mar 02, 2017",53.55,51.13
"Mar 03, 2017",51.45,50.98
"Mar 06, 2017",51.45,52.28
"Mar 07, 2017",52.55,51.83
"Mar 08, 2017",52.1,51.28
"Mar 09, 2017",52.1,51.78
"Mar 10, 2017",52.05,51.63
"Mar 14, 2017",51.85,52.48
"Mar 15, 2017",52.95,53.52
"Mar 16, 2017",54.2,54.77
"Mar 17, 2017",54.5,55.22
"Mar 20, 2017",55.35,55.27
"Mar 21, 2017",55.5,54.32
"Mar 22, 2017",54.1,52.93
"Mar 23, 2017",53.4,53.08
"Mar 24, 2017",53.7,54.32
"Mar 27, 2017",54.95,54.22
"Mar 28, 2017",54.9,54.17
"Mar 29, 2017",54.5,54.22
"Mar 30, 2017",0.0,0.0
"Mar 31, 2017",54.85,54.27
"Apr 03, 2017",54.8,54.32
05-Apr-2017,54.55,54.47
06-Apr-2017,54.2,56.46
07-Apr-2017,56.7,56.96
10-Apr-2017,57.95,58.3
11-Apr-2017,59.0,58.8
12-Apr-2017,59.05,57.81
13-Apr-2017,58.0,57.66
17-Apr-2017,57.9,57.76
18-Apr-2017,58.25,57.61
19-Apr-2017,58.1,57.36
20-Apr-2017,57.5,56.86
21-Apr-2017,57.45,57.06
24-Apr-2017,57.5,57.41
25-Apr-2017,57.85,57.71
26-Apr-2017,59.9,58.15
27-Apr-2017,58.65,60.94
28-Apr-2017,61.75,61.59
02-May-2017,61.85,60.39
03-May-2017,61.0,60.2
04-May-2017,61.0,62.19
05-May-2017,62.9,61.89
08-May-2017,62.45,62.93
09-May-2017,63.3,64.13
10-May-2017,64.6,63.98
11-May-2017,64.0,63.73
12-May-2017,64.0,63.13
15-May-2017,63.45,63.38
16-May-2017,63.6,63.83
17-May-2017,65.0,63.28
18-May-2017,62.8,61.24
19-May-2017,62.1,60.79
22-May-2017,62.0,60.0
23-May-2017,60.3,58.05
24-May-2017,58.35,56.66
25-May-2017,57.9,57.36
26-May-2017,58.7,58.95
29-May-2017,59.2,58.1
30-May-2017,57.75,58.65
31-May-2017,59.35,58.8
01-Jun-2017,58.9,58.8
02-Jun-2017,59.4,59.2
05-Jun-2017,59.45,58.8
06-Jun-2017,59.05,58.35
07-Jun-2017,58.6,58.25
08-Jun-2017,58.85,57.31
09-Jun-2017,57.8,57.41
12-Jun-2017,57.65,56.16
13-Jun-2017,56.4,56.21
14-Jun-2017,57.45,56.26
15-Jun-2017,56.45,56.41
16-Jun-2017,56.7,56.86
19-Jun-2017,57.0,57.06
20-Jun-2017,57.05,57.66
21-Jun-2017,57.7,57.06
22-Jun-2017,58.75,57.51
23-Jun-2017,58.1,55.96
27-Jun-2017,56.2,54.77
28-Jun-2017,55.0,55.27
29-Jun-2017,55.55,54.87
30-Jun-2017,54.85,55.07
03-Jul-2017,54.65,54.02
04-Jul-2017,54.45,54.67
05-Jul-2017,55.1,60.2
06-Jul-2017,61.25,60.34
07-Jul-2017,62.0,59.65
10-Jul-2017,60.5,56.26
11-Jul-2017,57.35,55.76
12-Jul-2017,56.7,57.06
13-Jul-2017,57.45,56.21
14-Jul-2017,56.5,55.96
17-Jul-2017,56.4,55.71
18-Jul-2017,55.6,57.01
19-Jul-2017,57.6,59.1
20-Jul-2017,59.25,58.85
21-Jul-2017,59.25,58.25
24-Jul-2017,58.25,58.9
25-Jul-2017,58.9,58.55
26-Jul-2017,58.6,58.35
27-Jul-2017,58.8,57.65
28-Jul-2017,58.9,59.5
31-Jul-2017,60.0,58.75
01-Aug-2017,59.4,58.7
02-Aug-2017,58.7,58.15
03-Aug-2017,57.8,56.9
04-Aug-2017,56.7,57.5
07-Aug-2017,57.8,58.55
08-Aug-2017,58.55,56.85
09-Aug-2017,56.65,56.45
10-Aug-2017,56.45,54.6
11-Aug-2017,53.0,53.6
14-Aug-2017,54.25,54.85
16-Aug-2017,54.85,56.85
17-Aug-2017,57.4,56.45
18-Aug-2017,55.5,55.65
21-Aug-2017,55.7,54.45
22-Aug-2017,54.25,53.9
23-Aug-2017,54.2,54.95
24-Aug-2017,55.3,54.75
28-Aug-2017,54.75,54.75
