Date,Open,Close
"Nov 11, 2016",99.7,87.28
"Nov 15, 2016",89.9,72.76
"Nov 16, 2016",77.0,75.63
"Nov 17, 2016",78.25,76.02
"Nov 18, 2016",78.3,74.06
"Nov 21, 2016",75.9,68.3
"Nov 22, 2016",70.3,72.68
"Nov 23, 2016",76.0,76.27
"Nov 24, 2016",77.5,72.09
"Nov 25, 2016",73.3,72.77
"Nov 28, 2016",73.25,71.25
"Nov 29, 2016",72.8,75.19
"Nov 30, 2016",78.0,75.73
"Dec 01, 2016",79.0,73.02
"Dec 02, 2016",74.9,71.84
"Dec 05, 2016",72.1,70.31
"Dec 06, 2016",73.0,73.07
"Dec 07, 2016",74.3,72.14
"Dec 08, 2016",76.9,72.68
"Dec 09, 2016",75.0,72.58
"Dec 12, 2016",74.0,69.67
"Dec 13, 2016",71.25,69.23
"Dec 14, 2016",70.55,68.3
"Dec 15, 2016",69.5,67.56
"Dec 16, 2016",69.3,66.08
"Dec 19, 2016",67.05,62.2
"Dec 20, 2016",63.5,59.29
"Dec 21, 2016",60.55,61.26
"Dec 22, 2016",62.6,59.44
"Dec 23, 2016",60.45,60.03
"Dec 26, 2016",60.9,57.72
"Dec 27, 2016",58.75,61.61
"Dec 28, 2016",63.0,64.66
"Dec 29, 2016",65.85,65.3
"Dec 30, 2016",67.75,66.18
"Jan 02, 2017",68.0,67.81
"Jan 03, 2017",69.0,71.35
"Jan 04, 2017",73.4,68.35
"Jan 05, 2017",70.95,69.53
"Jan 06, 2017",71.25,70.36
"Jan 09, 2017",72.8,69.58
"Jan 10, 2017",71.35,70.17
"Jan 11, 2017",72.8,72.33
"Jan 12, 2017",75.5,72.63
"Jan 13, 2017",74.85,72.38
"Jan 16, 2017",74.55,77.15
"Jan 17, 2017",79.6,78.63
"Jan 18, 2017",80.45,79.86
"Jan 19, 2017",81.9,77.65
"Jan 20, 2017",78.85,75.83
"Jan 23, 2017",77.0,76.66
"Jan 24, 2017",78.0,77.01
"Jan 25, 2017",79.0,78.97
"Jan 27, 2017",80.25,78.63
"Jan 30, 2017",79.45,79.27
"Jan 31, 2017",81.5,77.6
"Feb 01, 2017",79.0,82.57
"Feb 02, 2017",84.9,86.31
"Feb 03, 2017",88.4,90.59
"Feb 06, 2017",93.45,90.14
"Feb 07, 2017",91.65,90.24
"Feb 08, 2017",92.5,91.47
"Feb 09, 2017",100.45,96.79
"Feb 10, 2017",99.45,97.28
"Feb 13, 2017",99.5,96.15
"Feb 14, 2017",96.95,97.03
"Feb 15, 2017",99.2,97.18
"Feb 16, 2017",99.0,99.75
"Feb 17, 2017",101.5,102.47
"Feb 20, 2017",103.9,101.24
"Feb 21, 2017",102.95,99.9
"Feb 22, 2017",101.5,98.27
"Feb 23, 2017",99.1,97.72
"Feb 27, 2017",98.8,94.61
"Feb 28, 2017",97.0,96.14
"Mar 01, 2017",98.75,98.47
"Mar 02, 2017",100.65,98.81
"Mar 03, 2017",100.2,98.57
"Mar 06, 2017",99.7,98.52
"Mar 07, 2017",99.0,97.08
"Mar 08, 2017",98.15,95.4
"Mar 09, 2017",96.7,93.77
"Mar 10, 2017",90.05,89.52
"Mar 14, 2017",90.5,92.53
"Mar 15, 2017",93.55,92.24
"Mar 16, 2017",94.2,92.93
"Mar 17, 2017",95.0,91.49
"Mar 20, 2017",92.8,91.94
"Mar 21, 2017",91.7,90.41
"Mar 22, 2017",91.25,87.88
"Mar 23, 2017",89.9,92.58
"Mar 24, 2017",94.5,95.65
"Mar 27, 2017",97.0,97.43
"Mar 28, 2017",99.25,100.49
"Mar 29, 2017",103.0,97.77
"Mar 30, 2017",0.0,0.0
"Mar 31, 2017",98.15,96.93
"Apr 03, 2017",97.4,97.03
05-Apr-2017,98.1,96.69
06-Apr-2017,98.0,93.62
07-Apr-2017,94.55,95.05
10-Apr-2017,96.1,94.02
11-Apr-2017,95.5,93.72
12-Apr-2017,95.1,93.03
13-Apr-2017,94.25,92.63
17-Apr-2017,93.65,91.44
18-Apr-2017,92.9,92.09
19-Apr-2017,93.2,91.59
20-Apr-2017,93.65,96.09
21-Apr-2017,98.0,94.91
24-Apr-2017,96.05,93.47
25-Apr-2017,95.3,92.53
26-Apr-2017,93.6,94.56
27-Apr-2017,96.1,93.22
28-Apr-2017,94.05,92.38
02-May-2017,93.4,92.88
03-May-2017,94.9,92.33
04-May-2017,94.4,91.79
05-May-2017,92.9,89.66
08-May-2017,91.0,89.07
09-May-2017,90.55,94.21
10-May-2017,95.9,95.6
11-May-2017,97.15,94.46
12-May-2017,95.1,92.88
15-May-2017,94.95,95.05
16-May-2017,96.1,93.03
17-May-2017,94.1,91.64
18-May-2017,90.5,89.81
19-May-2017,91.7,88.77
22-May-2017,90.8,86.84
23-May-2017,87.0,84.57
24-May-2017,85.05,86.0
25-May-2017,88.45,87.78
26-May-2017,92.2,89.76
29-May-2017,91.0,86.05
30-May-2017,87.0,86.3
