Date,Open,Close
"Nov 11, 2016",41.5,40.0
"Nov 15, 2016",40.0,38.0
"Nov 16, 2016",38.8,37.7
"Nov 17, 2016",37.95,37.65
"Nov 18, 2016",37.95,37.55
"Nov 21, 2016",37.85,35.15
"Nov 22, 2016",35.95,35.5
"Nov 23, 2016",35.8,36.4
"Nov 24, 2016",36.5,35.65
"Nov 25, 2016",35.85,36.75
"Nov 28, 2016",36.5,37.05
"Nov 29, 2016",37.25,37.8
"Nov 30, 2016",37.95,38.45
"Dec 01, 2016",38.55,37.9
"Dec 02, 2016",37.5,36.95
"Dec 05, 2016",36.95,37.65
"Dec 06, 2016",37.6,37.45
"Dec 07, 2016",37.95,37.1
"Dec 08, 2016",37.7,37.95
"Dec 09, 2016",38.05,38.65
"Dec 12, 2016",38.65,37.75
"Dec 13, 2016",37.95,38.15
"Dec 14, 2016",38.3,37.9
"Dec 15, 2016",38.0,38.25
"Dec 16, 2016",38.35,38.05
"Dec 19, 2016",38.0,37.6
"Dec 20, 2016",37.6,37.2
"Dec 21, 2016",37.0,37.0
"Dec 22, 2016",36.95,36.5
"Dec 23, 2016",36.75,36.35
"Dec 26, 2016",36.2,35.45
"Dec 27, 2016",35.1,35.85
"Dec 28, 2016",36.05,36.4
"Dec 29, 2016",36.7,36.75
"Dec 30, 2016",37.45,36.45
"Jan 02, 2017",36.65,36.95
"Jan 03, 2017",37.4,37.3
"Jan 04, 2017",37.4,37.4
"Jan 05, 2017",37.45,38.0
"Jan 06, 2017",38.15,38.1
"Jan 09, 2017",38.15,37.85
"Jan 10, 2017",38.2,37.55
"Jan 11, 2017",38.0,39.2
"Jan 12, 2017",38.95,38.9
"Jan 13, 2017",39.1,38.7
"Jan 16, 2017",37.9,37.8
"Jan 17, 2017",37.95,36.75
"Jan 18, 2017",37.0,36.6
"Jan 19, 2017",36.7,36.95
"Jan 20, 2017",37.0,36.1
"Jan 23, 2017",35.6,36.35
"Jan 24, 2017",36.45,36.5
"Jan 25, 2017",37.0,36.75
"Jan 27, 2017",36.75,36.75
"Jan 30, 2017",37.0,36.9
"Jan 31, 2017",36.8,36.35
"Feb 01, 2017",36.45,37.25
"Feb 02, 2017",37.3,36.75
"Feb 03, 2017",37.5,39.3
"Feb 06, 2017",40.0,39.5
"Feb 07, 2017",39.7,39.4
"Feb 08, 2017",39.85,39.4
"Feb 09, 2017",39.8,40.35
"Feb 10, 2017",41.05,41.4
"Feb 13, 2017",42.0,41.15
"Feb 14, 2017",41.3,40.85
"Feb 15, 2017",41.0,39.1
"Feb 16, 2017",39.1,39.0
"Feb 17, 2017",39.2,39.05
"Feb 20, 2017",39.15,38.7
"Feb 21, 2017",39.15,40.1
"Feb 22, 2017",40.2,40.0
"Feb 23, 2017",40.4,39.9
"Feb 27, 2017",39.9,41.65
"Feb 28, 2017",41.65,42.1
"Mar 01, 2017",42.5,41.8
"Mar 02, 2017",42.2,40.4
"Mar 03, 2017",40.75,40.95
"Mar 06, 2017",41.1,41.1
"Mar 07, 2017",41.45,41.5
"Mar 08, 2017",41.65,40.8
"Mar 09, 2017",40.8,40.95
"Mar 10, 2017",41.3,40.7
"Mar 14, 2017",40.7,41.0
"Mar 15, 2017",41.4,42.8
"Mar 16, 2017",43.1,43.25
"Mar 17, 2017",43.3,43.0
"Mar 20, 2017",43.0,43.25
"Mar 21, 2017",43.5,43.8
"Mar 22, 2017",43.7,43.0
"Mar 23, 2017",43.4,43.5
"Mar 24, 2017",43.4,43.2
"Mar 27, 2017",43.0,41.95
"Mar 28, 2017",42.2,41.5
"Mar 29, 2017",41.5,41.95
"Mar 30, 2017",42.1,42.0
"Mar 31, 2017",42.1,42.05
"Apr 03, 2017",42.05,44.0
05-Apr-2017,44.0,45.6
06-Apr-2017,45.15,44.85
07-Apr-2017,44.85,43.05
10-Apr-2017,43.1,43.45
11-Apr-2017,43.5,44.45
12-Apr-2017,44.5,43.85
13-Apr-2017,43.85,43.7
17-Apr-2017,43.7,43.25
18-Apr-2017,43.7,42.85
19-Apr-2017,43.25,41.5
20-Apr-2017,41.75,40.7
21-Apr-2017,41.3,42.05
24-Apr-2017,42.5,42.1
25-Apr-2017,42.3,41.9
26-Apr-2017,42.15,40.95
27-Apr-2017,40.3,40.55
28-Apr-2017,40.8,41.65
02-May-2017,41.65,41.55
03-May-2017,41.5,41.15
04-May-2017,41.5,40.8
05-May-2017,40.95,39.95
08-May-2017,40.0,40.1
09-May-2017,40.1,40.1
10-May-2017,40.2,41.45
11-May-2017,41.5,42.25
12-May-2017,42.5,41.3
15-May-2017,41.7,41.8
16-May-2017,42.35,41.65
17-May-2017,41.65,41.1
18-May-2017,40.8,40.3
19-May-2017,40.6,39.55
22-May-2017,39.55,38.2
23-May-2017,38.3,36.1
24-May-2017,36.0,33.35
25-May-2017,33.9,35.65
26-May-2017,35.95,36.4
29-May-2017,37.4,34.6
30-May-2017,35.0,35.3
31-May-2017,35.3,35.45
01-Jun-2017,35.6,35.1
02-Jun-2017,35.45,35.85
05-Jun-2017,35.95,36.05
06-Jun-2017,36.15,35.45
07-Jun-2017,35.5,35.9
08-Jun-2017,36.05,36.3
09-Jun-2017,36.45,36.25
12-Jun-2017,36.0,36.95
13-Jun-2017,37.1,37.75
14-Jun-2017,37.85,37.4
15-Jun-2017,37.05,37.85
16-Jun-2017,37.85,37.7
19-Jun-2017,37.5,37.35
20-Jun-2017,37.45,37.4
21-Jun-2017,37.15,37.4
22-Jun-2017,37.5,37.35
23-Jun-2017,37.4,36.45
27-Jun-2017,36.45,36.1
28-Jun-2017,35.8,35.45
29-Jun-2017,35.65,35.7
30-Jun-2017,35.5,36.35
03-Jul-2017,35.9,37.3
04-Jul-2017,37.35,36.95
05-Jul-2017,37.15,37.65
06-Jul-2017,37.75,37.35
07-Jul-2017,37.25,37.35
10-Jul-2017,37.45,37.8
11-Jul-2017,37.75,37.35
12-Jul-2017,37.35,37.9
13-Jul-2017,38.2,40.9
14-Jul-2017,41.0,41.55
17-Jul-2017,41.9,41.35
18-Jul-2017,41.6,38.8
19-Jul-2017,39.4,39.2
20-Jul-2017,39.5,39.6
21-Jul-2017,40.1,40.5
24-Jul-2017,41.0,40.2
25-Jul-2017,40.3,39.75
26-Jul-2017,40.5,40.75
27-Jul-2017,40.65,40.4
28-Jul-2017,40.4,39.85
31-Jul-2017,39.8,39.95
01-Aug-2017,39.85,39.6
02-Aug-2017,39.35,38.75
03-Aug-2017,38.85,38.7
04-Aug-2017,38.8,38.3
07-Aug-2017,38.2,38.55
08-Aug-2017,38.7,37.75
09-Aug-2017,37.5,36.55
10-Aug-2017,36.05,35.45
11-Aug-2017,35.95,35.25
14-Aug-2017,35.5,36.3
16-Aug-2017,36.3,36.75
17-Aug-2017,36.6,36.55
18-Aug-2017,36.25,36.4
21-Aug-2017,36.5,36.0
22-Aug-2017,36.0,35.5
23-Aug-2017,36.15,36.4
24-Aug-2017,36.75,36.6
28-Aug-2017,36.6,36.6
