Date,Open,Close
"Nov 11, 2016",64.4,63.9
"Nov 15, 2016",63.9,61.8
"Nov 16, 2016",62.95,62.0
"Nov 17, 2016",62.2,63.05
"Nov 18, 2016",62.0,64.35
"Nov 21, 2016",65.05,62.7
"Nov 22, 2016",63.85,62.5
"Nov 23, 2016",62.8,63.45
"Nov 24, 2016",62.9,61.9
"Nov 25, 2016",62.5,63.65
"Nov 28, 2016",63.3,65.7
"Nov 29, 2016",65.8,66.55
"Nov 30, 2016",66.7,67.95
"Dec 01, 2016",68.2,67.15
"Dec 02, 2016",66.75,68.05
"Dec 05, 2016",67.05,69.65
"Dec 06, 2016",71.0,69.8
"Dec 07, 2016",70.05,69.8
"Dec 08, 2016",70.0,70.6
"Dec 09, 2016",70.0,71.45
"Dec 12, 2016",72.0,71.1
"Dec 13, 2016",71.8,70.85
"Dec 14, 2016",70.95,70.95
"Dec 15, 2016",70.8,72.95
"Dec 16, 2016",73.25,73.5
"Dec 19, 2016",73.4,73.2
"Dec 20, 2016",73.0,72.4
"Dec 21, 2016",72.75,73.6
"Dec 22, 2016",73.5,71.75
"Dec 23, 2016",71.2,71.25
"Dec 26, 2016",70.7,69.6
"Dec 27, 2016",69.9,70.85
"Dec 28, 2016",71.1,70.7
"Dec 29, 2016",70.1,73.1
"Dec 30, 2016",73.45,76.45
"Jan 02, 2017",77.0,76.8
"Jan 03, 2017",78.8,76.5
"Jan 04, 2017",77.15,77.7
"Jan 05, 2017",78.5,79.15
"Jan 06, 2017",79.75,78.75
"Jan 09, 2017",78.85,78.65
"Jan 10, 2017",78.75,80.35
"Jan 11, 2017",80.05,80.85
"Jan 12, 2017",80.5,80.35
"Jan 13, 2017",79.8,78.5
"Jan 16, 2017",78.35,79.6
"Jan 17, 2017",80.75,78.8
"Jan 18, 2017",78.7,79.1
"Jan 19, 2017",79.5,80.45
"Jan 20, 2017",81.0,77.7
"Jan 23, 2017",77.35,78.15
"Jan 24, 2017",78.95,79.55
"Jan 25, 2017",79.9,79.8
"Jan 27, 2017",79.8,92.5
"Jan 30, 2017",91.95,92.15
"Jan 31, 2017",93.0,87.35
"Feb 01, 2017",88.5,90.8
"Feb 02, 2017",91.6,93.9
"Feb 03, 2017",94.9,94.4
"Feb 06, 2017",95.9,97.15
"Feb 07, 2017",97.6,92.0
"Feb 08, 2017",92.0,92.15
"Feb 09, 2017",93.0,93.7
"Feb 10, 2017",94.5,92.85
"Feb 13, 2017",93.6,91.65
"Feb 14, 2017",92.0,90.8
"Feb 15, 2017",91.5,92.3
"Feb 16, 2017",92.8,94.3
"Feb 17, 2017",94.6,93.7
"Feb 20, 2017",92.65,97.4
"Feb 21, 2017",97.85,97.45
"Feb 22, 2017",98.0,94.5
"Feb 23, 2017",94.7,96.65
"Feb 27, 2017",96.65,95.95
"Feb 28, 2017",96.0,98.4
"Mar 01, 2017",99.0,98.05
"Mar 02, 2017",98.2,93.35
"Mar 03, 2017",93.4,94.7
"Mar 06, 2017",95.0,95.35
"Mar 07, 2017",95.5,97.9
"Mar 08, 2017",98.7,94.6
"Mar 09, 2017",94.6,93.7
"Mar 10, 2017",94.7,94.05
"Mar 14, 2017",94.05,97.3
"Mar 15, 2017",97.0,101.25
"Mar 16, 2017",102.5,102.7
"Mar 17, 2017",103.5,103.4
"Mar 20, 2017",103.05,103.25
"Mar 21, 2017",103.0,103.65
"Mar 22, 2017",102.2,101.8
"Mar 23, 2017",101.8,104.55
"Mar 24, 2017",105.6,105.75
"Mar 27, 2017",105.2,103.85
"Mar 28, 2017",105.4,104.55
"Mar 29, 2017",105.45,104.3
"Mar 30, 2017",104.6,105.85
"Mar 31, 2017",106.1,108.25
"Apr 03, 2017",106.5,111.65
