Date,Open,Close
"Apr 03, 2017",86.55,85.9
"Mar 31, 2017",85.0,85.41
"Mar 30, 2017",0.0,0.0
"Mar 29, 2017",83.0,81.26
"Mar 28, 2017",81.5,81.61
"Mar 27, 2017",82.9,80.52
"Mar 24, 2017",81.9,79.88
"Mar 23, 2017",82.0,80.18
"Mar 22, 2017",81.95,80.52
"Mar 21, 2017",84.5,81.71
"Mar 20, 2017",80.15,82.94
"Mar 17, 2017",82.15,79.93
"Mar 16, 2017",82.9,81.12
"Mar 15, 2017",81.0,81.07
"Mar 14, 2017",79.05,80.13
"Mar 10, 2017",78.05,78.01
"Mar 09, 2017",77.0,76.18
"Mar 08, 2017",78.85,75.59
"Mar 07, 2017",78.55,77.96
"Mar 06, 2017",81.0,77.52
"Mar 03, 2017",81.65,79.93
"Mar 02, 2017",83.6,80.97
"Mar 01, 2017",82.35,82.01
"Feb 28, 2017",82.8,81.56
"Feb 27, 2017",81.95,81.46
"Feb 23, 2017",84.6,80.87
"Feb 22, 2017",85.6,83.19
"Feb 21, 2017",82.0,82.94
"Feb 20, 2017",81.4,80.67
"Feb 17, 2017",80.25,79.83
"Feb 16, 2017",80.6,79.0
"Feb 15, 2017",80.0,79.0
"Feb 14, 2017",80.15,78.65
"Feb 13, 2017",80.95,79.09
"Feb 10, 2017",81.3,79.0
"Feb 09, 2017",81.1,79.59
"Feb 08, 2017",83.9,79.74
"Feb 07, 2017",84.6,81.12
"Feb 06, 2017",80.0,82.79
"Feb 03, 2017",78.75,78.11
"Feb 02, 2017",78.7,77.32
"Feb 01, 2017",80.7,77.47
"Jan 31, 2017",81.35,79.64
"Jan 30, 2017",82.45,80.87
"Jan 27, 2017",82.25,81.36
"Jan 25, 2017",83.0,81.17
"Jan 24, 2017",83.25,81.46
"Jan 23, 2017",83.0,82.01
"Jan 20, 2017",86.0,81.56
"Jan 19, 2017",85.0,85.51
"Jan 18, 2017",86.6,84.03
"Jan 17, 2017",85.0,85.51
"Jan 16, 2017",83.65,83.78
"Jan 13, 2017",80.8,82.45
"Jan 12, 2017",82.3,79.54
"Jan 11, 2017",84.4,81.07
"Jan 10, 2017",86.0,82.35
"Jan 09, 2017",85.05,84.92
"Jan 06, 2017",83.9,84.72
"Jan 05, 2017",79.7,81.91
"Jan 04, 2017",70.75,77.42
"Jan 03, 2017",71.35,70.06
"Jan 02, 2017",71.55,70.51
"Dec 30, 2016",71.65,70.16
"Dec 29, 2016",69.1,70.16
"Dec 28, 2016",70.05,68.58
"Dec 27, 2016",69.35,68.98
"Dec 26, 2016",65.1,67.35
"Dec 23, 2016",67.55,64.93
"Dec 22, 2016",69.1,66.12
"Dec 21, 2016",69.25,68.29
"Dec 20, 2016",71.1,68.09
"Dec 19, 2016",69.0,69.82
"Dec 16, 2016",72.45,68.14
"Dec 15, 2016",70.75,70.16
"Dec 14, 2016",71.15,70.11
"Dec 13, 2016",71.0,70.16
"Dec 12, 2016",71.25,70.31
"Dec 09, 2016",73.9,71.05
"Dec 08, 2016",72.6,71.94
"Dec 07, 2016",67.8,69.08
"Dec 06, 2016",68.5,65.87
"Dec 05, 2016",62.8,66.76
"Dec 02, 2016",62.8,63.01
"Dec 01, 2016",63.05,62.71
"Nov 30, 2016",62.5,62.32
"Nov 29, 2016",62.35,60.64
"Nov 28, 2016",63.55,61.53
"Nov 25, 2016",63.15,62.47
"Nov 24, 2016",58.2,61.33
"Nov 23, 2016",58.2,57.68
"Nov 22, 2016",56.95,57.29
"Nov 21, 2016",56.85,55.9
"Nov 18, 2016",55.0,55.9
"Nov 17, 2016",57.85,53.93
"Nov 16, 2016",59.0,56.84
"Nov 15, 2016",60.0,57.53
"Nov 11, 2016",60.1,59.21
