Date,Open,Close
"Apr 03, 2017",54.8,54.32
"Mar 31, 2017",54.85,54.27
"Mar 30, 2017",0.0,0.0
"Mar 29, 2017",54.5,54.22
"Mar 28, 2017",54.9,54.17
"Mar 27, 2017",54.95,54.22
"Mar 24, 2017",53.7,54.32
"Mar 23, 2017",53.4,53.08
"Mar 22, 2017",54.1,52.93
"Mar 21, 2017",55.5,54.32
"Mar 20, 2017",55.35,55.27
"Mar 17, 2017",54.5,55.22
"Mar 16, 2017",54.2,54.77
"Mar 15, 2017",52.95,53.52
"Mar 14, 2017",51.85,52.48
"Mar 10, 2017",52.05,51.63
"Mar 09, 2017",52.1,51.78
"Mar 08, 2017",52.1,51.28
"Mar 07, 2017",52.55,51.83
"Mar 06, 2017",51.45,52.28
"Mar 03, 2017",51.45,50.98
"Mar 02, 2017",53.55,51.13
"Mar 01, 2017",53.8,53.27
"Feb 28, 2017",52.75,53.08
"Feb 27, 2017",53.0,52.38
"Feb 23, 2017",53.1,52.78
"Feb 22, 2017",54.05,53.08
"Feb 21, 2017",53.6,53.77
"Feb 20, 2017",53.3,53.57
"Feb 17, 2017",53.5,52.88
"Feb 16, 2017",52.05,52.38
"Feb 15, 2017",55.35,52.23
"Feb 14, 2017",55.85,54.67
"Feb 13, 2017",56.5,55.37
"Feb 10, 2017",57.2,56.16
"Feb 09, 2017",57.5,56.66
"Feb 08, 2017",57.2,57.01
"Feb 07, 2017",55.55,56.81
"Feb 06, 2017",55.0,55.32
"Feb 03, 2017",54.7,54.62
"Feb 02, 2017",55.0,54.12
"Feb 01, 2017",54.95,54.77
"Jan 31, 2017",56.5,54.82
"Jan 30, 2017",57.0,56.36
"Jan 27, 2017",59.2,57.11
"Jan 25, 2017",58.7,58.95
"Jan 24, 2017",57.9,58.3
"Jan 23, 2017",57.75,57.31
"Jan 20, 2017",58.25,57.31
"Jan 19, 2017",59.3,58.6
"Jan 18, 2017",58.5,59.0
"Jan 17, 2017",58.8,58.65
"Jan 16, 2017",56.95,58.1
"Jan 13, 2017",57.6,56.61
"Jan 12, 2017",57.6,57.41
"Jan 11, 2017",55.4,56.76
"Jan 10, 2017",56.0,54.87
"Jan 09, 2017",57.0,55.61
"Jan 06, 2017",57.15,56.56
"Jan 05, 2017",55.15,56.81
"Jan 04, 2017",54.95,54.67
"Jan 03, 2017",54.3,54.42
"Jan 02, 2017",54.5,54.07
"Dec 30, 2016",54.2,53.57
"Dec 29, 2016",52.95,55.17
"Dec 28, 2016",52.5,52.03
"Dec 27, 2016",51.0,51.98
"Dec 26, 2016",51.7,50.24
"Dec 23, 2016",51.55,51.68
"Dec 22, 2016",52.55,51.58
"Dec 21, 2016",52.8,52.43
"Dec 20, 2016",54.0,52.28
"Dec 19, 2016",54.0,53.42
"Dec 16, 2016",54.75,53.82
"Dec 15, 2016",54.75,54.47
"Dec 14, 2016",55.35,54.67
"Dec 13, 2016",55.5,55.12
"Dec 12, 2016",56.95,55.56
"Dec 09, 2016",56.75,56.86
"Dec 08, 2016",56.0,56.11
"Dec 07, 2016",56.1,55.37
"Dec 06, 2016",56.95,56.06
"Dec 05, 2016",55.8,55.86
"Dec 02, 2016",56.5,55.12
"Dec 01, 2016",57.95,56.46
"Nov 30, 2016",57.15,57.21
"Nov 29, 2016",57.75,56.86
"Nov 28, 2016",57.0,57.31
"Nov 25, 2016",55.9,56.66
"Nov 24, 2016",57.0,55.22
"Nov 23, 2016",56.1,56.41
"Nov 22, 2016",54.75,54.87
"Nov 21, 2016",57.8,53.82
"Nov 18, 2016",60.0,56.76
"Nov 17, 2016",59.9,58.15
"Nov 16, 2016",60.0,58.35
"Nov 15, 2016",61.4,58.6
"Nov 11, 2016",63.5,61.14
