Date,Open,Close
"Apr 03, 2017",166.3,163.18
"Mar 31, 2017",160.5,161.64
"Mar 30, 2017",0.0,0.0
"Mar 29, 2017",160.9,159.1
"Mar 28, 2017",155.7,156.57
"Mar 27, 2017",158.0,152.99
"Mar 24, 2017",158.95,157.11
"Mar 23, 2017",158.7,157.46
"Mar 22, 2017",162.65,156.02
"Mar 21, 2017",163.7,162.48
"Mar 20, 2017",161.9,160.79
"Mar 17, 2017",164.5,159.45
"Mar 16, 2017",162.0,162.93
"Mar 15, 2017",161.7,160.89
"Mar 14, 2017",156.35,159.7
"Mar 10, 2017",160.25,155.47
"Mar 09, 2017",160.6,158.6
"Mar 08, 2017",163.6,159.05
"Mar 07, 2017",164.3,162.53
"Mar 06, 2017",166.5,165.02
"Mar 03, 2017",165.0,164.67
"Mar 02, 2017",170.75,160.74
"Mar 01, 2017",171.5,167.9
"Feb 28, 2017",164.35,169.15
"Feb 27, 2017",166.3,163.43
"Feb 23, 2017",167.5,165.37
"Feb 22, 2017",173.85,166.66
"Feb 21, 2017",165.5,171.23
"Feb 20, 2017",162.5,161.84
"Feb 17, 2017",164.3,161.29
"Feb 16, 2017",153.8,163.28
"Feb 15, 2017",157.35,152.14
"Feb 14, 2017",162.8,156.37
"Feb 13, 2017",163.4,159.15
"Feb 10, 2017",163.4,162.43
"Feb 09, 2017",164.6,161.44
"Feb 08, 2017",165.8,163.28
"Feb 07, 2017",164.5,163.58
"Feb 06, 2017",164.0,163.18
"Feb 03, 2017",160.75,160.89
"Feb 02, 2017",160.8,158.26
"Feb 01, 2017",148.5,158.31
"Jan 31, 2017",147.8,144.73
"Jan 30, 2017",145.8,145.83
"Jan 27, 2017",143.15,144.04
"Jan 25, 2017",145.0,142.35
"Jan 24, 2017",139.2,142.5
"Jan 23, 2017",138.0,138.27
"Jan 20, 2017",137.0,135.09
"Jan 19, 2017",139.0,137.67
"Jan 18, 2017",136.5,137.03
"Jan 17, 2017",137.6,133.6
"Jan 16, 2017",132.0,134.79
"Jan 13, 2017",134.75,130.66
"Jan 12, 2017",134.9,133.15
"Jan 11, 2017",131.5,132.85
"Jan 10, 2017",129.0,128.43
"Jan 09, 2017",127.0,125.79
"Jan 06, 2017",126.3,124.7
"Jan 05, 2017",123.0,125.24
"Jan 04, 2017",123.0,121.22
"Jan 03, 2017",122.0,121.91
"Jan 02, 2017",117.4,122.01
"Dec 30, 2016",113.8,116.0
"Dec 29, 2016",111.4,112.02
"Dec 28, 2016",112.25,110.53
"Dec 27, 2016",108.0,110.72
"Dec 26, 2016",111.35,107.15
"Dec 23, 2016",111.9,111.52
"Dec 22, 2016",112.3,110.97
"Dec 21, 2016",112.75,112.61
"Dec 20, 2016",111.2,111.57
"Dec 19, 2016",111.5,110.48
"Dec 16, 2016",113.6,110.72
"Dec 15, 2016",113.8,112.12
"Dec 14, 2016",116.55,111.47
"Dec 13, 2016",118.0,115.45
"Dec 12, 2016",118.0,113.76
"Dec 09, 2016",115.9,116.49
"Dec 08, 2016",114.15,113.71
"Dec 07, 2016",114.95,111.37
"Dec 06, 2016",113.45,113.91
"Dec 05, 2016",110.5,111.62
"Dec 02, 2016",117.45,110.43
"Dec 01, 2016",119.6,116.84
"Nov 30, 2016",117.55,118.83
"Nov 29, 2016",118.0,116.29
"Nov 28, 2016",117.65,117.14
"Nov 25, 2016",115.0,116.99
"Nov 24, 2016",115.7,113.61
"Nov 23, 2016",115.6,113.71
"Nov 22, 2016",109.7,113.66
"Nov 21, 2016",120.9,105.8
"Nov 18, 2016",111.6,116.29
"Nov 17, 2016",117.65,111.62
"Nov 16, 2016",119.2,115.15
"Nov 15, 2016",132.45,118.03
"Nov 11, 2016",141.6,131.71
