Date,Open,Close
"Apr 03, 2017",93.8,99.2
"Mar 31, 2017",93.4,93.8
"Mar 30, 2017",94.4,93.25
"Mar 29, 2017",94.55,94.25
"Mar 28, 2017",94.95,94.45
"Mar 27, 2017",95.95,94.2
"Mar 24, 2017",94.3,95.15
"Mar 23, 2017",93.9,93.9
"Mar 22, 2017",95.4,93.75
"Mar 21, 2017",95.75,95.9
"Mar 20, 2017",95.4,95.4
"Mar 17, 2017",95.05,94.55
"Mar 16, 2017",94.0,94.8
"Mar 15, 2017",91.9,93.5
"Mar 14, 2017",89.85,91.9
"Mar 10, 2017",91.55,89.85
"Mar 09, 2017",92.0,91.1
"Mar 08, 2017",91.25,92.05
"Mar 07, 2017",91.3,91.25
"Mar 06, 2017",89.8,91.05
"Mar 03, 2017",92.4,89.7
"Mar 02, 2017",94.0,92.35
"Mar 01, 2017",94.2,93.85
"Feb 28, 2017",92.6,93.8
"Feb 27, 2017",93.7,92.6
"Feb 23, 2017",94.8,93.7
"Feb 22, 2017",96.0,94.85
"Feb 21, 2017",95.0,96.0
"Feb 20, 2017",93.5,95.2
"Feb 17, 2017",93.8,93.4
"Feb 16, 2017",95.35,93.05
"Feb 15, 2017",95.9,94.6
"Feb 14, 2017",96.15,94.35
"Feb 13, 2017",97.7,96.0
"Feb 10, 2017",96.75,96.95
"Feb 09, 2017",99.0,96.65
"Feb 08, 2017",95.95,98.2
"Feb 07, 2017",96.95,95.4
"Feb 06, 2017",96.15,96.75
"Feb 03, 2017",98.4,96.05
"Feb 02, 2017",96.85,97.3
"Feb 01, 2017",95.0,95.8
"Jan 31, 2017",95.45,94.6
"Jan 30, 2017",94.2,94.95
"Jan 27, 2017",94.25,95.2
"Jan 25, 2017",91.2,94.25
"Jan 24, 2017",89.55,90.65
"Jan 23, 2017",89.7,89.7
"Jan 20, 2017",94.9,89.3
"Jan 19, 2017",94.5,94.85
"Jan 18, 2017",93.7,94.35
"Jan 17, 2017",94.9,94.7
"Jan 16, 2017",93.1,94.2
"Jan 13, 2017",94.5,93.45
"Jan 12, 2017",95.05,94.35
"Jan 11, 2017",96.25,95.65
"Jan 10, 2017",93.9,95.7
"Jan 09, 2017",92.15,93.8
"Jan 06, 2017",93.2,92.0
"Jan 05, 2017",93.9,93.2
"Jan 04, 2017",92.25,92.85
"Jan 03, 2017",89.15,91.3
"Jan 02, 2017",88.15,88.75
"Dec 30, 2016",87.25,88.1
"Dec 29, 2016",85.5,86.1
"Dec 28, 2016",85.55,84.7
"Dec 27, 2016",81.5,83.0
"Dec 26, 2016",84.05,81.75
"Dec 23, 2016",83.05,84.85
"Dec 22, 2016",81.2,82.45
"Dec 21, 2016",80.8,81.85
"Dec 20, 2016",84.4,81.1
"Dec 19, 2016",85.55,84.25
"Dec 16, 2016",86.45,85.45
"Dec 15, 2016",85.15,86.75
"Dec 14, 2016",87.5,85.65
"Dec 13, 2016",87.95,87.2
"Dec 12, 2016",89.35,87.5
"Dec 09, 2016",91.15,89.8
"Dec 08, 2016",87.45,90.15
"Dec 07, 2016",87.3,85.95
"Dec 06, 2016",87.65,87.05
"Dec 05, 2016",87.5,87.55
"Dec 02, 2016",87.5,87.25
"Dec 01, 2016",90.45,87.95
"Nov 30, 2016",89.3,89.5
"Nov 29, 2016",90.85,88.6
"Nov 28, 2016",86.0,89.6
"Nov 25, 2016",84.75,85.55
"Nov 24, 2016",84.6,83.65
"Nov 23, 2016",86.35,85.15
"Nov 22, 2016",84.5,85.6
"Nov 21, 2016",89.0,83.9
"Nov 18, 2016",88.5,89.1
"Nov 17, 2016",91.0,88.35
"Nov 16, 2016",89.25,88.3
"Nov 15, 2016",98.15,86.3
"Nov 11, 2016",100.9,98.15
