Date,Open,Close
"Nov 11, 2016",81.2,78.79
"Nov 15, 2016",79.15,74.9
"Nov 16, 2016",76.0,75.1
"Nov 17, 2016",75.25,76.45
"Nov 18, 2016",76.7,78.59
"Nov 21, 2016",79.4,74.71
"Nov 22, 2016",74.25,74.76
"Nov 23, 2016",76.5,74.46
"Nov 24, 2016",74.8,72.86
"Nov 25, 2016",73.9,76.15
"Nov 28, 2016",77.1,78.04
"Nov 29, 2016",79.0,80.43
"Nov 30, 2016",81.7,79.83
"Dec 01, 2016",80.8,77.84
"Dec 02, 2016",78.05,76.65
"Dec 05, 2016",76.85,78.74
"Dec 06, 2016",80.4,79.78
"Dec 07, 2016",80.5,79.09
"Dec 08, 2016",80.3,80.08
"Dec 09, 2016",81.8,80.63
"Dec 12, 2016",81.0,81.37
"Dec 13, 2016",82.5,82.72
"Dec 14, 2016",83.9,82.52
"Dec 15, 2016",82.5,82.92
"Dec 16, 2016",83.95,82.12
"Dec 19, 2016",82.5,81.32
"Dec 20, 2016",81.45,80.58
"Dec 21, 2016",81.5,80.58
"Dec 22, 2016",80.4,78.49
"Dec 23, 2016",78.7,77.64
"Dec 26, 2016",78.0,75.5
"Dec 27, 2016",75.9,76.45
"Dec 28, 2016",77.45,77.89
"Dec 29, 2016",78.3,79.63
"Dec 30, 2016",80.2,80.08
"Jan 02, 2017",80.95,83.32
"Jan 03, 2017",84.7,83.56
"Jan 04, 2017",84.7,85.31
"Jan 05, 2017",86.2,85.85
"Jan 06, 2017",86.95,82.77
"Jan 09, 2017",83.6,81.77
"Jan 10, 2017",82.95,82.57
"Jan 11, 2017",83.5,82.52
"Jan 12, 2017",82.75,82.62
"Jan 13, 2017",83.0,83.46
"Jan 16, 2017",84.25,83.37
"Jan 17, 2017",83.9,82.37
"Jan 18, 2017",82.7,82.27
"Jan 19, 2017",82.9,81.72
"Jan 20, 2017",82.2,79.33
"Jan 23, 2017",79.7,78.29
"Jan 24, 2017",79.1,79.63
"Jan 25, 2017",80.35,81.13
"Jan 27, 2017",81.5,83.61
"Jan 30, 2017",85.9,84.26
"Jan 31, 2017",85.0,82.57
"Feb 01, 2017",83.85,84.21
"Feb 02, 2017",85.0,83.71
"Feb 03, 2017",84.7,84.71
"Feb 06, 2017",86.1,87.3
"Feb 07, 2017",88.6,85.9
"Feb 08, 2017",86.9,86.55
"Feb 09, 2017",87.95,87.0
"Feb 10, 2017",88.0,86.5
"Feb 13, 2017",87.35,84.91
"Feb 14, 2017",85.95,83.91
"Feb 15, 2017",84.6,80.18
"Feb 16, 2017",81.0,81.72
"Feb 17, 2017",82.65,82.02
"Feb 20, 2017",82.15,83.42
"Feb 21, 2017",84.45,83.42
"Feb 22, 2017",83.8,82.52
"Feb 23, 2017",83.4,81.42
"Feb 27, 2017",81.8,80.88
"Feb 28, 2017",81.75,83.17
"Mar 01, 2017",84.0,82.57
"Mar 02, 2017",83.5,80.63
"Mar 03, 2017",81.0,79.18
"Mar 06, 2017",79.5,80.03
"Mar 07, 2017",80.55,79.58
"Mar 08, 2017",79.95,78.04
"Mar 09, 2017",78.4,78.89
"Mar 10, 2017",80.0,78.39
"Mar 14, 2017",78.75,79.09
"Mar 15, 2017",79.35,80.73
"Mar 16, 2017",81.45,82.22
"Mar 17, 2017",83.4,81.82
"Mar 20, 2017",82.45,83.56
"Mar 21, 2017",83.5,82.22
"Mar 22, 2017",81.95,81.03
"Mar 23, 2017",81.8,82.27
"Mar 24, 2017",82.65,81.77
"Mar 27, 2017",82.75,80.58
"Mar 28, 2017",82.5,80.78
"Mar 29, 2017",81.0,81.13
"Mar 30, 2017",82.0,80.48
"Mar 31, 2017",80.85,81.42
"Apr 03, 2017",82.6,83.17
