Date,Open,Close
"Apr 03, 2017",21.6,21.29
"Mar 31, 2017",20.4,21.09
"Mar 30, 2017",19.9,20.01
"Mar 29, 2017",20.0,19.66
"Mar 28, 2017",20.25,19.91
"Mar 27, 2017",20.35,19.91
"Mar 24, 2017",20.1,20.06
"Mar 23, 2017",20.25,19.91
"Mar 22, 2017",20.25,19.81
"Mar 21, 2017",20.5,20.11
"Mar 20, 2017",20.55,20.16
"Mar 17, 2017",20.55,20.21
"Mar 16, 2017",20.4,20.25
"Mar 15, 2017",20.3,19.96
"Mar 14, 2017",20.15,19.96
"Mar 10, 2017",20.35,19.86
"Mar 09, 2017",20.45,20.01
"Mar 08, 2017",20.7,20.16
"Mar 07, 2017",20.95,20.3
"Mar 06, 2017",20.35,20.01
"Mar 03, 2017",20.4,20.06
"Mar 02, 2017",21.0,20.06
"Mar 01, 2017",20.65,20.6
"Feb 28, 2017",20.1,20.5
"Feb 27, 2017",20.55,19.91
"Feb 23, 2017",20.5,20.25
"Feb 22, 2017",20.9,20.21
"Feb 21, 2017",21.0,20.5
"Feb 20, 2017",20.0,20.4
"Feb 17, 2017",20.0,19.71
"Feb 16, 2017",20.15,19.61
"Feb 15, 2017",20.72,20.16
"Feb 14, 2017",20.59,20.29
"Feb 13, 2017",20.9,20.33
"Feb 10, 2017",20.99,20.51
"Feb 09, 2017",21.08,20.56
"Feb 08, 2017",21.31,20.74
"Feb 07, 2017",20.31,20.65
"Feb 06, 2017",20.13,19.93
"Feb 03, 2017",19.91,19.93
"Feb 02, 2017",19.41,19.49
"Feb 01, 2017",19.0,19.04
"Jan 31, 2017",19.27,18.64
"Jan 30, 2017",19.36,19.04
"Jan 27, 2017",19.36,19.13
"Jan 25, 2017",19.23,19.09
"Jan 24, 2017",19.36,18.95
"Jan 23, 2017",19.05,18.91
"Jan 20, 2017",19.18,18.77
"Jan 19, 2017",19.18,18.91
"Jan 18, 2017",19.5,18.95
"Jan 17, 2017",19.36,19.0
"Jan 16, 2017",19.32,19.13
"Jan 13, 2017",19.27,19.04
"Jan 12, 2017",19.68,19.0
"Jan 11, 2017",19.0,19.09
"Jan 10, 2017",19.09,18.68
"Jan 09, 2017",18.91,18.77
"Jan 06, 2017",18.55,18.37
"Jan 05, 2017",18.14,18.28
"Jan 04, 2017",18.1,17.84
"Jan 03, 2017",18.01,17.79
"Jan 02, 2017",17.87,17.57
"Dec 30, 2016",17.69,17.44
"Dec 29, 2016",17.6,17.3
"Dec 28, 2016",17.92,16.99
"Dec 27, 2016",17.19,17.17
"Dec 26, 2016",18.1,16.86
"Dec 23, 2016",18.59,17.93
"Dec 22, 2016",19.14,18.28
"Dec 21, 2016",18.69,18.6
"Dec 20, 2016",18.87,18.33
"Dec 19, 2016",19.27,18.64
"Dec 16, 2016",19.18,18.64
"Dec 15, 2016",19.23,18.91
"Dec 14, 2016",19.73,19.04
"Dec 13, 2016",19.41,19.58
"Dec 12, 2016",19.59,19.22
"Dec 09, 2016",19.41,19.31
"Dec 08, 2016",19.36,19.17
"Dec 07, 2016",19.27,18.91
"Dec 06, 2016",19.23,18.91
"Dec 05, 2016",19.09,18.86
"Dec 02, 2016",19.14,18.82
"Dec 01, 2016",19.73,18.77
"Nov 30, 2016",19.09,19.17
"Nov 29, 2016",19.14,18.73
"Nov 28, 2016",19.23,18.68
"Nov 25, 2016",18.59,18.86
"Nov 24, 2016",18.5,18.28
"Nov 23, 2016",18.55,18.33
"Nov 22, 2016",19.23,18.24
"Nov 21, 2016",20.18,18.68
"Nov 18, 2016",20.59,19.75
"Nov 17, 2016",20.72,19.98
"Nov 16, 2016",20.63,19.89
"Nov 15, 2016",21.13,20.16
"Nov 11, 2016",21.67,20.82
