Date,Open,Close
"Nov 11, 2016",41.5,40.0
"Nov 15, 2016",40.0,38.0
"Nov 16, 2016",38.8,37.7
"Nov 17, 2016",37.95,37.65
"Nov 18, 2016",37.95,37.55
"Nov 21, 2016",37.85,35.15
"Nov 22, 2016",35.95,35.5
"Nov 23, 2016",35.8,36.4
"Nov 24, 2016",36.5,35.65
"Nov 25, 2016",35.85,36.75
"Nov 28, 2016",36.5,37.05
"Nov 29, 2016",37.25,37.8
"Nov 30, 2016",37.95,38.45
"Dec 01, 2016",38.55,37.9
"Dec 02, 2016",37.5,36.95
"Dec 05, 2016",36.95,37.65
"Dec 06, 2016",37.6,37.45
"Dec 07, 2016",37.95,37.1
"Dec 08, 2016",37.7,37.95
"Dec 09, 2016",38.05,38.65
"Dec 12, 2016",38.65,37.75
"Dec 13, 2016",37.95,38.15
"Dec 14, 2016",38.3,37.9
"Dec 15, 2016",38.0,38.25
"Dec 16, 2016",38.35,38.05
"Dec 19, 2016",38.0,37.6
"Dec 20, 2016",37.6,37.2
"Dec 21, 2016",37.0,37.0
"Dec 22, 2016",36.95,36.5
"Dec 23, 2016",36.75,36.35
"Dec 26, 2016",36.2,35.45
"Dec 27, 2016",35.1,35.85
"Dec 28, 2016",36.05,36.4
"Dec 29, 2016",36.7,36.75
"Dec 30, 2016",37.45,36.45
"Jan 02, 2017",36.65,36.95
"Jan 03, 2017",37.4,37.3
"Jan 04, 2017",37.4,37.4
"Jan 05, 2017",37.45,38.0
"Jan 06, 2017",38.15,38.1
"Jan 09, 2017",38.15,37.85
"Jan 10, 2017",38.2,37.55
"Jan 11, 2017",38.0,39.2
"Jan 12, 2017",38.95,38.9
"Jan 13, 2017",39.1,38.7
"Jan 16, 2017",37.9,37.8
"Jan 17, 2017",37.95,36.75
"Jan 18, 2017",37.0,36.6
"Jan 19, 2017",36.7,36.95
"Jan 20, 2017",37.0,36.1
"Jan 23, 2017",35.6,36.35
"Jan 24, 2017",36.45,36.5
"Jan 25, 2017",37.0,36.75
"Jan 27, 2017",36.75,36.75
"Jan 30, 2017",37.0,36.9
"Jan 31, 2017",36.8,36.35
"Feb 01, 2017",36.45,37.25
"Feb 02, 2017",37.3,36.75
"Feb 03, 2017",37.5,39.3
"Feb 06, 2017",40.0,39.5
"Feb 07, 2017",39.7,39.4
"Feb 08, 2017",39.85,39.4
"Feb 09, 2017",39.8,40.35
"Feb 10, 2017",41.05,41.4
"Feb 13, 2017",42.0,41.15
"Feb 14, 2017",41.3,40.85
"Feb 15, 2017",41.0,39.1
"Feb 16, 2017",39.1,39.0
"Feb 17, 2017",39.2,39.05
"Feb 20, 2017",39.15,38.7
"Feb 21, 2017",39.15,40.1
"Feb 22, 2017",40.2,40.0
"Feb 23, 2017",40.4,39.9
"Feb 27, 2017",39.9,41.65
"Feb 28, 2017",41.65,42.1
"Mar 01, 2017",42.5,41.8
"Mar 02, 2017",42.2,40.4
"Mar 03, 2017",40.75,40.95
"Mar 06, 2017",41.1,41.1
"Mar 07, 2017",41.45,41.5
"Mar 08, 2017",41.65,40.8
"Mar 09, 2017",40.8,40.95
"Mar 10, 2017",41.3,40.7
"Mar 14, 2017",40.7,41.0
"Mar 15, 2017",41.4,42.8
"Mar 16, 2017",43.1,43.25
"Mar 17, 2017",43.3,43.0
"Mar 20, 2017",43.0,43.25
"Mar 21, 2017",43.5,43.8
"Mar 22, 2017",43.7,43.0
"Mar 23, 2017",43.4,43.5
"Mar 24, 2017",43.4,43.2
"Mar 27, 2017",43.0,41.95
"Mar 28, 2017",42.2,41.5
"Mar 29, 2017",41.5,41.95
"Mar 30, 2017",42.1,42.0
"Mar 31, 2017",42.1,42.05
"Apr 03, 2017",42.05,44.0
