Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,175.000000,176.500000,171.000000,171.899994,167.729828,208353
2015-09-04,170.000000,172.850006,163.000000,169.649994,165.534409,308721
2015-09-07,171.899994,172.850006,168.000000,168.699997,164.607468,174409
2015-09-08,168.550003,178.850006,166.600006,177.050003,172.754898,265537
2015-09-09,180.000000,181.300003,177.600006,178.350006,174.023376,260587
2015-09-10,175.000000,185.250000,174.449997,184.199997,179.731461,376626
2015-09-11,185.300003,188.500000,183.399994,185.550003,181.048706,250004
2015-09-14,186.899994,190.100006,185.399994,188.000000,183.439270,190317
2015-09-15,187.050003,189.750000,184.699997,186.649994,182.122009,219074
2015-09-16,185.100006,188.500000,183.699997,184.500000,180.024170,90866
2015-09-18,184.500000,191.350006,184.500000,186.699997,182.170792,206277
2015-09-21,189.649994,194.500000,187.199997,193.399994,188.708252,202465
2015-09-22,194.600006,197.600006,182.600006,183.399994,178.950851,326163
2015-09-23,179.050003,186.399994,179.050003,185.600006,181.097488,205540
2015-09-24,183.000000,187.649994,183.000000,186.399994,181.878082,170910
2015-09-28,186.399994,188.100006,181.699997,182.949997,178.511765,91606
2015-09-29,181.100006,184.800003,177.300003,182.350006,177.926331,216302
2015-09-30,182.000000,185.500000,178.100006,179.899994,175.535751,164129
2015-10-01,180.199997,184.000000,180.199997,182.250000,177.828766,136098
2015-10-05,182.250000,192.250000,182.250000,191.000000,186.366486,264896
2015-10-06,191.050003,197.800003,189.149994,195.649994,190.903671,297976
2015-10-07,196.600006,198.699997,193.100006,194.649994,189.927948,200228
2015-10-08,195.800003,195.800003,190.399994,193.300003,188.610703,116247
2015-10-09,193.899994,195.550003,185.300003,188.000000,183.439270,237295
2015-10-12,188.899994,190.199997,184.800003,187.850006,183.292908,107380
2015-10-13,187.899994,191.250000,187.800003,190.550003,185.927414,116122
2015-10-14,191.899994,192.000000,186.300003,187.050003,182.512314,144580
2015-10-15,187.000000,192.500000,187.000000,191.350006,186.708008,127673
2015-10-16,192.050003,193.899994,189.750000,191.149994,186.512833,134091
2015-10-19,191.949997,194.600006,191.000000,193.800003,189.098572,92176
2015-10-20,193.000000,196.600006,193.000000,194.500000,189.781570,164639
2015-10-21,195.000000,196.199997,191.050003,192.699997,188.025253,129795
2015-10-23,192.699997,198.199997,192.250000,194.550003,189.830368,208176
2015-10-26,196.000000,196.000000,189.300003,190.199997,185.585892,148083
2015-10-27,189.000000,191.199997,187.600006,190.500000,185.878616,96461
2015-10-28,190.000000,192.850006,188.699997,190.699997,186.073761,120867
2015-10-29,189.899994,190.399994,181.550003,182.399994,177.975113,170560
2015-10-30,182.100006,182.100006,168.399994,171.050003,166.900452,545550
2015-11-02,172.149994,172.699997,165.850006,169.850006,165.729584,327709
2015-11-03,170.050003,172.000000,163.500000,164.750000,160.753296,336183
2015-11-04,165.050003,166.449997,161.500000,162.199997,158.265152,1280243
2015-11-05,162.949997,163.050003,158.100006,159.250000,155.386719,609870
2015-11-06,159.300003,162.050003,156.550003,158.750000,154.898849,249762
2015-11-09,155.500000,161.149994,154.000000,160.449997,156.557602,274044
2015-11-10,160.550003,162.149994,156.000000,156.550003,152.752228,244278
2015-11-13,156.550003,158.000000,154.250000,155.100006,151.337402,193104
