Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,261.000000,268.399994,261.000000,263.399994,259.636749,121884
2015-09-04,265.600006,269.500000,251.399994,255.399994,251.751053,273890
2015-09-07,257.500000,262.000000,251.699997,254.300003,250.666794,144288
2015-09-08,257.500000,269.600006,253.300003,265.500000,261.706757,228141
2015-09-09,266.600006,272.100006,263.600006,265.799988,262.002472,195257
2015-09-10,260.000000,262.000000,255.399994,259.700012,255.989639,129761
2015-09-11,264.899994,267.299988,260.000000,261.299988,257.566772,176460
2015-09-14,262.299988,276.399994,261.500000,274.799988,270.873871,235476
2015-09-15,276.100006,282.799988,276.100006,279.600006,275.605316,250618
2015-09-16,282.100006,283.600006,272.200012,274.100006,270.183899,150387
2015-09-18,274.100006,286.500000,274.100006,284.100006,280.041016,179341
2015-09-21,287.100006,292.500000,284.200012,290.600006,286.448181,207792
2015-09-22,292.000000,296.000000,276.100006,278.799988,274.816711,293732
2015-09-23,274.899994,293.500000,272.399994,290.600006,286.448181,237167
2015-09-24,290.299988,292.700012,283.000000,284.299988,280.238159,192070
2015-09-28,284.299988,288.299988,282.000000,283.399994,279.351013,126587
2015-09-29,278.000000,284.700012,276.750000,278.950012,274.964630,322989
2015-09-30,280.700012,287.000000,274.600006,278.950012,274.964630,186892
2015-10-01,282.399994,282.799988,270.350006,272.350006,268.458893,175217
2015-10-05,272.350006,283.149994,272.350006,280.100006,276.098175,237059
2015-10-06,283.399994,286.200012,280.100006,283.350006,279.301758,140459
2015-10-07,283.600006,288.500000,282.200012,286.500000,282.406708,218744
2015-10-08,287.100006,291.000000,284.549988,285.649994,281.568848,236099
2015-10-09,288.000000,289.700012,284.399994,286.750000,282.653168,99080
2015-10-12,288.500000,292.399994,285.200012,288.799988,284.673859,111509
2015-10-13,290.500000,291.799988,285.000000,286.899994,282.800995,94810
2015-10-14,287.000000,291.000000,282.000000,284.799988,280.730988,129264
2015-10-15,286.000000,292.500000,284.850006,290.750000,286.596008,150687
2015-10-16,292.799988,295.950012,291.049988,292.600006,288.419586,272279
2015-10-19,293.649994,294.500000,287.399994,289.700012,285.561005,82648
2015-10-20,290.399994,294.000000,288.000000,290.000000,285.856720,106055
2015-10-21,291.100006,292.200012,283.000000,287.399994,283.293884,84954
2015-10-23,287.399994,291.399994,285.750000,287.350006,283.244598,53697
2015-10-26,290.000000,290.000000,277.049988,278.799988,274.816711,89367
2015-10-27,273.000000,283.899994,272.700012,282.200012,278.168182,139948
2015-10-28,282.549988,284.450012,279.000000,282.750000,278.710297,60689
2015-10-29,283.500000,286.500000,280.799988,282.600006,278.562469,84248
2015-10-30,282.600006,283.000000,275.000000,277.700012,273.732483,101646
2015-11-02,276.000000,280.200012,270.799988,278.700012,274.718170,93491
2015-11-03,281.399994,282.299988,274.000000,275.549988,271.613159,88259
2015-11-04,277.799988,278.049988,266.200012,267.799988,263.973877,178553
2015-11-05,269.450012,283.600006,265.750000,281.500000,277.478180,964190
2015-11-06,281.600006,285.200012,277.350006,283.450012,279.400330,233450
2015-11-09,276.000000,287.649994,276.000000,286.049988,281.963135,109856
2015-11-10,285.000000,288.950012,284.250000,285.750000,281.667450,135588
2015-11-13,285.750000,290.700012,281.799988,287.899994,283.786713,82958
2015-11-16,289.000000,290.500000,283.049988,284.750000,280.681732,126794
2015-11-17,286.000000,288.299988,283.299988,284.899994,280.829559,96638
