Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,1054.650024,1057.150024,1026.000000,1029.150024,1016.438232,24341
2015-09-04,1027.000000,1040.800049,1004.000000,1035.199951,1022.413452,13159
2015-09-07,1040.000000,1040.000000,999.000000,1003.099976,990.709961,11911
2015-09-08,502.500000,510.450012,493.125000,506.475006,500.219177,46216
2015-09-09,512.500000,523.750000,509.299988,512.924988,506.589508,32420
2015-09-10,1025.000000,1028.000000,999.200012,1023.599976,1010.956787,9377
2015-09-11,1030.050049,1036.449951,1006.150024,1027.349976,1014.660400,14725
2015-09-14,1031.000000,1082.550049,1031.000000,1069.250000,1056.042969,23801
2015-09-15,1065.000000,1105.050049,1049.199951,1099.900024,1086.314331,32473
2015-09-16,1108.800049,1133.000000,1108.000000,1119.449951,1105.622803,34832
2015-09-18,1119.449951,1119.449951,564.250000,569.700012,562.663269,31320
2015-09-21,1127.000000,1158.900024,1127.000000,1147.150024,1132.980835,10041
2015-09-22,575.849976,577.500000,561.000000,564.025024,557.058350,55820
2015-09-23,1035.000000,1115.000000,1035.000000,1107.599976,1093.919312,19972
2015-09-24,1110.150024,1142.000000,1097.900024,1125.650024,1111.746338,13934
2015-09-28,1125.650024,1125.650024,551.474976,553.950012,547.107788,33766
2015-09-29,1106.500000,1106.500000,1058.849976,1067.800049,1054.610962,22121
2015-09-30,1060.000000,1087.900024,1057.449951,1077.900024,1064.586060,15981
2015-10-01,1085.000000,1093.250000,1054.349976,1059.250000,1046.166504,16644
2015-10-05,1059.250000,1095.000000,1059.250000,1080.250000,1066.907104,14483
2015-10-06,547.500000,552.500000,540.799988,549.950012,543.157166,13347
2015-10-07,null,null,null,null,null,null
2015-10-08,550.000000,558.349976,546.900024,552.150024,545.330078,17485
2015-10-09,null,null,null,null,null,null
2015-10-12,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,526.500000,536.049988,518.950012,534.799988,528.194336,21903
2015-10-15,540.000000,540.200012,525.500000,527.299988,520.786987,32211
2015-10-16,530.349976,535.599976,521.799988,527.900024,521.379578,25451
2015-10-19,530.000000,530.000000,522.599976,524.950012,518.466003,26714
2015-10-20,526.000000,531.000000,523.250000,527.500000,520.984497,51977
2015-10-21,530.049988,539.000000,523.200012,525.549988,519.058533,74820
2015-10-23,525.549988,534.000000,524.500000,526.099976,519.601746,34830
2015-10-26,525.849976,527.000000,515.049988,520.200012,513.774658,23764
2015-10-27,520.000000,526.650024,516.000000,523.099976,516.638794,34173
2015-10-28,521.000000,532.599976,518.400024,524.299988,517.823975,38599
2015-10-29,null,null,null,null,null,null
2015-10-30,507.000000,510.000000,497.799988,502.000000,495.799438,43753
2015-11-02,503.000000,509.000000,486.600006,503.950012,497.725372,384912
2015-11-03,507.600006,507.750000,492.000000,497.500000,491.355011,114377
2015-11-04,498.000000,498.000000,482.000000,485.950012,479.947693,84040
2015-11-05,468.000000,477.350006,462.000000,464.600006,458.861420,178335
2015-11-06,470.000000,473.399994,463.000000,467.100006,461.330505,39090
2015-11-09,467.000000,485.000000,457.750000,482.899994,476.935364,37882
2015-11-10,486.899994,488.950012,465.299988,470.500000,464.688538,45893
2015-11-13,470.500000,478.399994,465.350006,472.149994,466.318146,35954
2015-11-16,null,null,null,null,null,null
2015-11-17,null,null,null,null,null,null
2015-11-18,471.450012,479.299988,467.000000,477.700012,471.799622,39636
2015-11-19,480.000000,483.000000,474.200012,479.750000,473.824249,19389
2015-11-20,null,null,null,null,null,null
2015-11-23,null,null,null,null,null,null
2015-11-24,486.149994,491.000000,473.200012,485.250000,479.256348,53064
2015-11-26,485.250000,527.750000,480.000000,511.649994,505.330261,247409
2015-11-27,505.250000,507.000000,495.799988,498.899994,492.737732,54327
2015-11-30,495.000000,504.750000,490.850006,499.350006,493.182190,46511
2015-12-01,501.700012,502.850006,480.200012,485.000000,479.009430,62565
2015-12-02,480.000000,489.750000,476.500000,480.149994,474.219330,35402
2015-12-03,478.000000,483.000000,476.450012,480.000000,474.071167,80874
2015-12-04,478.049988,487.000000,478.049988,484.000000,478.021759,30997
2015-12-07,490.000000,493.850006,482.549988,485.200012,479.206970,36079
2015-12-08,487.950012,497.850006,487.000000,495.299988,489.182190,33567
2015-12-09,497.000000,500.000000,474.149994,479.799988,473.873627,46277
2015-12-10,480.000000,480.200012,470.000000,472.899994,467.058868,55861
2015-12-11,472.899994,475.600006,464.399994,467.899994,462.120636,435083
2015-12-14,467.899994,475.000000,464.149994,472.549988,466.713196,32648
2015-12-15,472.549988,486.600006,472.549988,484.649994,478.663727,37419
2015-12-16,487.000000,487.000000,475.149994,479.299988,473.379791,29611
2015-12-17,478.500000,502.000000,478.500000,497.049988,490.910553,38124
2015-12-18,498.000000,498.000000,483.250000,492.549988,486.466156,22878
2015-12-21,491.000000,491.350006,483.000000,484.100006,478.120544,31589
2015-12-22,485.049988,501.700012,484.000000,496.899994,490.762421,31847
2015-12-23,500.000000,502.600006,495.000000,498.350006,492.194550,32656
2015-12-24,500.500000,512.150024,494.000000,497.750000,491.601929,61152
2015-12-28,497.750000,510.399994,495.350006,506.200012,499.947571,44517
2015-12-29,511.000000,516.000000,504.450012,508.250000,501.972260,36316
2015-12-30,508.250000,512.599976,503.000000,505.299988,499.058655,21842
2015-12-31,506.799988,524.000000,506.799988,521.400024,514.959839,61325
2016-01-01,518.400024,519.000000,513.000000,516.900024,510.515442,20114
2016-01-04,516.000000,517.799988,504.200012,509.149994,502.861145,25289
2016-01-05,508.000000,514.000000,498.799988,500.750000,494.564880,209311
2016-01-06,500.000000,504.450012,489.200012,500.799988,494.614227,58458
2016-01-07,496.000000,503.500000,490.500000,497.250000,491.108093,51914
2016-01-08,500.000000,502.500000,486.700012,489.600006,483.552612,28716
2016-01-11,485.000000,489.350006,475.000000,486.649994,480.639038,19412
2016-01-12,488.299988,490.500000,478.750000,486.649994,480.639038,14206
2016-01-13,488.000000,496.200012,478.549988,481.299988,475.355103,36974
2016-01-14,485.000000,485.000000,461.100006,466.100006,460.342896,45013
2016-01-15,470.000000,474.600006,458.100006,461.500000,455.799713,22799
2016-01-18,461.549988,465.000000,446.649994,457.149994,451.503418,23141
2016-01-19,460.250000,468.000000,459.000000,464.899994,459.157684,14540
2016-01-20,465.000000,465.000000,447.899994,452.450012,446.861481,35042
2016-01-21,452.000000,460.000000,438.049988,447.100006,441.577576,29199
2016-01-22,450.000000,477.000000,450.000000,473.100006,467.256409,24136
2016-01-25,472.000000,506.700012,471.799988,477.799988,471.898346,69866
2016-01-27,477.799988,488.399994,469.049988,480.549988,474.614380,61439
2016-01-28,480.000000,486.500000,474.000000,479.049988,473.132935,38372
