Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,1278.750000,1335.000000,1258.760010,1312.719971,1309.827759,7000
2015-09-04,1312.500000,1312.500000,1248.750000,1275.489990,1272.679810,2225
2015-09-07,1290.000000,1300.609985,1213.390015,1218.969971,1216.284302,2828
2015-09-08,1217.849976,1252.349976,1207.500000,1216.430054,1213.750000,1491
2015-09-09,1237.500000,1323.750000,1237.500000,1309.910034,1307.023926,6523
2015-09-10,1275.750000,1339.500000,1267.500000,1309.609985,1306.724609,2388
2015-09-11,1322.400024,1368.750000,1317.069946,1338.680054,1335.730591,7837
2015-09-14,1324.390015,1349.209961,1290.000000,1300.719971,1297.854126,1564
2015-09-15,1305.000000,1311.000000,1275.000000,1280.660034,1277.838501,1721
2015-09-16,1293.750000,1297.239990,1237.500000,1266.680054,1263.889282,2088
2015-09-18,1266.680054,1312.500000,1248.750000,1261.199951,1258.421265,2017
2015-09-21,1261.569946,1261.569946,1237.500000,1240.910034,1238.176025,1799
2015-09-22,1251.599976,1254.900024,1209.000000,1217.589966,1214.907349,62223
2015-09-23,1207.500000,1211.209961,1181.250000,1189.569946,1186.949097,2000
2015-09-24,1185.000000,1203.219971,1182.859985,1193.849976,1191.219727,1361
2015-09-28,1193.849976,1215.000000,1181.250000,1188.489990,1185.871582,865
2015-09-29,1182.449951,1203.750000,1170.000000,1187.140015,1184.524414,1715
2015-09-30,1196.959961,1207.500000,1185.900024,1191.859985,1189.234009,920
2015-10-01,1274.890015,1275.530029,1170.260010,1181.250000,1178.647339,532880
2015-10-05,1181.250000,1320.000000,1181.250000,1292.699951,1289.851929,21901
2015-10-06,1297.500000,1335.000000,1286.250000,1291.569946,1288.724243,9116
2015-10-07,1290.750000,1308.750000,1269.000000,1279.119995,1276.301880,2719
2015-10-08,1268.250000,1280.959961,1249.500000,1276.760010,1273.947021,1705
2015-10-09,1282.500000,1287.750000,1224.640015,1237.430054,1234.703735,1352
2015-10-12,1250.510010,1264.500000,1248.819946,1261.050049,1258.271606,992
2015-10-13,1252.609985,1274.180054,1252.500000,1270.800049,1268.000122,1799
2015-10-14,1267.500000,1290.300049,1267.500000,1273.760010,1270.953613,1313
2015-10-15,1274.959961,1346.030029,1274.959961,1335.040039,1332.098633,5833
2015-10-16,1338.750000,1364.890015,1331.250000,1340.550049,1337.596558,4731
2015-10-19,1339.500000,1365.750000,1333.650024,1348.760010,1345.788452,895
2015-10-20,1343.959961,1350.000000,1335.530029,1345.689941,1342.725098,427
2015-10-21,1342.459961,1367.930054,1331.250000,1356.709961,1353.720825,1116
2015-10-23,1356.709961,1461.859985,1356.709961,1374.599976,1371.571533,14269
