Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,91.275002,93.650002,90.750000,93.300003,88.177895,124738
2015-09-04,93.025002,93.025002,87.500000,88.074997,83.239746,116908
2015-09-07,88.000000,89.974998,86.849998,88.099998,83.263374,83422
2015-09-08,88.500000,92.500000,87.050003,92.074997,87.020149,114226
2015-09-09,94.000000,94.250000,92.500000,93.300003,88.177895,80614
2015-09-10,91.474998,93.974998,90.050003,93.375000,88.248779,99670
2015-09-11,94.000000,94.000000,90.824997,92.800003,87.705353,88168
2015-09-14,93.449997,97.474998,92.699997,95.550003,90.304382,60868
2015-09-15,97.000000,97.474998,94.050003,94.775002,89.571922,99044
2015-09-16,95.974998,96.099998,93.000000,94.150002,88.981232,31792
2015-09-18,94.150002,96.300003,91.500000,92.675003,87.587212,125650
2015-09-21,92.199997,95.099998,92.050003,94.775002,89.571922,62898
2015-09-22,93.500000,96.074997,93.000000,93.375000,88.248779,59172
2015-09-23,93.500000,94.300003,91.974998,93.574997,88.437798,38938
2015-09-24,94.750000,94.900002,92.824997,93.900002,88.744965,27756
2015-09-28,93.900002,94.750000,93.025002,94.025002,88.863098,79764
2015-09-29,93.074997,95.449997,92.224998,93.699997,88.555931,58692
2015-09-30,94.550003,96.625000,94.375000,95.400002,90.162605,88694
2015-10-01,95.925003,97.550003,94.625000,95.775002,90.517021,76710
2015-10-05,95.775002,98.949997,89.525002,97.824997,92.454475,577664
2015-10-06,99.250000,100.650002,98.525002,99.400002,93.943008,138218
2015-10-07,100.000000,101.300003,97.849998,99.775002,94.297424,77160
2015-10-08,101.250000,101.250000,97.775002,98.400002,92.997917,63122
2015-10-09,99.449997,99.750000,97.849998,98.349998,92.950661,69632
2015-10-12,100.250000,100.250000,97.900002,98.125000,92.738007,35722
2015-10-13,98.150002,102.150002,98.099998,101.400002,95.833214,110658
2015-10-14,101.449997,105.449997,100.875000,104.550003,98.810280,165102
2015-10-15,106.250000,107.099998,103.050003,106.175003,100.346077,121408
2015-10-16,106.925003,106.925003,104.000000,104.525002,98.786659,62588
2015-10-19,105.500000,106.724998,102.974998,105.175003,99.400963,101882
2015-10-20,106.974998,106.974998,104.349998,105.150002,99.377342,105814
2015-10-21,105.000000,106.250000,102.300003,103.474998,97.794296,112694
2015-10-23,103.474998,104.974998,100.650002,101.224998,95.667824,63054
2015-10-26,101.500000,102.400002,100.250000,100.625000,95.100761,28840
2015-10-27,101.800003,101.800003,98.349998,100.775002,95.242523,76986
2015-10-28,101.550003,102.099998,99.550003,100.099998,94.604576,73286
2015-10-29,101.250000,102.974998,99.250000,100.099998,94.604576,100854
2015-10-30,101.500000,101.500000,97.675003,98.400002,92.997917,63502
2015-11-02,98.574997,98.574997,94.775002,97.550003,92.194580,93826
2015-11-03,98.199997,99.000000,95.550003,96.525002,91.225845,116546
2015-11-04,97.949997,99.400002,96.375000,98.025002,92.643501,189142
2015-11-05,98.949997,98.949997,94.250000,94.650002,89.453789,213352
