Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,62.505299,63.335499,62.090199,62.969200,62.412647,908506
2015-09-04,62.969200,62.969200,61.235699,62.505299,61.952847,1705931
2015-09-07,62.749500,63.335499,59.868401,60.063702,59.532833,1417376
2015-09-08,60.551998,62.114700,59.331200,61.553101,61.009068,1886578
2015-09-09,62.261200,63.872601,62.139099,63.213402,62.654694,1217537
2015-09-10,62.407600,65.191101,62.065800,63.701698,63.138672,1687050
2015-09-11,64.238899,64.751602,62.749500,62.944801,62.388466,1166466
2015-09-14,63.579601,64.214401,63.140099,64.043503,63.477459,906568
2015-09-15,64.214401,64.214401,62.163502,62.529701,61.977036,888036
2015-09-16,63.433102,63.726101,62.651798,63.237801,62.678875,824178
2015-09-18,63.237801,66.192101,63.237801,65.313202,64.735931,1733948
2015-09-21,66.656097,69.537201,66.216599,68.389603,67.785141,3010851
2015-09-22,68.365196,69.317398,66.338600,66.680496,66.091148,5098708
2015-09-23,66.167702,68.169899,65.923599,67.290901,66.696152,2209453
2015-09-24,67.290901,69.292999,66.802597,68.755798,68.148102,3044441
2015-09-28,68.755798,69.683601,68.414001,68.560501,67.954529,2279877
2015-09-29,68.365196,69.146500,67.120003,67.803596,67.204315,3467664
2015-09-30,68.414001,70.391701,67.022301,69.000000,68.390144,9213827
2015-10-01,69.000000,74.900002,59.700001,60.299999,59.767040,16922662
2015-10-05,60.299999,60.299999,60.299999,60.299999,59.767040,0
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,62.400002,63.299999,62.099998,62.500000,61.947598,1206286
2015-10-09,null,null,null,null,null,null
2015-10-12,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-16,61.500000,61.500000,59.799999,60.200001,59.667927,1068328
2015-10-19,60.500000,60.799999,59.500000,60.000000,59.469692,623657
2015-10-20,60.400002,63.599998,60.400002,61.700001,61.154667,1667908
2015-10-21,62.000000,62.400002,60.500000,60.799999,60.262619,720420
2015-10-23,60.799999,61.500000,60.500000,60.599998,60.064388,562768
2015-10-26,null,null,null,null,null,null
2015-10-27,60.000000,60.299999,59.400002,59.500000,58.974110,615561
2015-10-28,59.900002,60.599998,59.200001,59.299999,58.775879,881087
2015-10-29,null,null,null,null,null,null
2015-10-30,null,null,null,null,null,null
2015-11-02,null,null,null,null,null,null
2015-11-03,58.950001,60.000000,57.849998,59.400002,58.874996,1155907
2015-11-04,60.200001,61.099998,59.099998,60.049999,59.519249,644785
2015-11-05,60.450001,60.500000,59.250000,59.500000,58.974110,459811
2015-11-06,60.000000,61.650002,52.849998,55.400002,54.910351,3533885
2015-11-09,53.500000,55.900002,52.650002,53.849998,53.374046,837887
2015-11-10,54.000000,54.500000,52.549999,52.700001,52.234215,710054
2015-11-13,52.700001,53.400002,51.500000,52.099998,51.639515,608707
2015-11-16,52.099998,53.900002,51.750000,53.500000,53.027142,838887
2015-11-17,53.599998,54.099998,52.900002,53.599998,53.126259,432925
2015-11-18,null,null,null,null,null,null
2015-11-19,52.849998,53.299999,52.349998,52.900002,52.432446,453576
2015-11-20,53.099998,53.349998,52.500000,52.799999,52.333328,463063
2015-11-23,null,null,null,null,null,null
2015-11-24,52.650002,53.000000,52.299999,52.450001,51.986423,384149
2015-11-26,52.450001,53.000000,52.200001,52.750000,52.283772,548964
2015-11-27,52.900002,53.599998,52.900002,53.049999,52.581120,687995
2015-11-30,53.599998,54.250000,52.950001,53.049999,52.581120,1041990
2015-12-01,53.450001,53.500000,52.900002,53.250000,52.779354,339397
2015-12-02,53.299999,54.099998,52.750000,53.150002,52.680241,493715
2015-12-03,53.049999,53.150002,51.599998,51.799999,51.342167,498432
2015-12-04,51.500000,51.700001,49.549999,50.000000,49.558079,632275
2015-12-07,50.549999,50.549999,49.099998,49.450001,49.012939,544506
2015-12-08,49.349998,49.500000,46.950001,47.250000,46.832382,775474
2015-12-09,47.200001,47.200001,44.700001,45.150002,44.750942,1157222
2015-12-10,45.200001,45.500000,44.549999,45.349998,44.949177,532276
2015-12-11,45.750000,45.900002,44.049999,44.900002,44.503155,812328
2015-12-14,44.900002,45.500000,44.250000,45.250000,44.850063,451198
2015-12-15,45.250000,45.700001,45.000000,45.400002,44.998737,608860
2015-12-16,45.599998,47.000000,45.299999,46.250000,45.841221,608418
2015-12-17,46.299999,49.099998,46.299999,48.200001,47.773987,1112957
2015-12-18,48.150002,49.099998,47.450001,48.400002,47.972218,547782
2015-12-21,48.299999,48.950001,48.099998,48.299999,47.873100,434320
2015-12-22,48.500000,48.650002,47.650002,48.200001,47.773987,405297
2015-12-23,48.200001,48.799999,47.799999,48.000000,47.575756,418788
2015-12-24,47.500000,48.450001,47.500000,48.200001,47.773987,273848
2015-12-28,48.200001,48.799999,47.650002,48.250000,47.823544,601453
2015-12-29,48.250000,48.799999,47.900002,48.599998,48.170452,388443
2015-12-30,null,null,null,null,null,null
2015-12-31,48.500000,48.599998,48.049999,48.250000,47.823544,413861
2016-01-01,48.200001,48.900002,47.950001,48.400002,47.972218,271907
2016-01-04,48.400002,48.549999,47.349998,47.799999,47.377522,433566
2016-01-05,48.150002,48.599998,47.650002,48.450001,48.021774,279491
2016-01-06,48.799999,48.799999,47.500000,47.900002,47.476639,462966
2016-01-07,47.200001,47.549999,46.450001,46.750000,46.336803,450684
2016-01-08,46.900002,47.500000,46.099998,46.599998,46.188126,445525
2016-01-11,46.599998,46.599998,45.549999,46.000000,45.593430,390691
2016-01-12,46.049999,46.299999,44.650002,44.950001,44.552711,469237
2016-01-13,45.200001,45.650002,42.200001,44.700001,44.304920,800547
2016-01-14,44.500000,44.950001,42.900002,43.099998,42.719063,589373
2016-01-15,43.700001,43.849998,40.599998,40.950001,40.588066,834745
2016-01-18,40.950001,41.049999,39.349998,39.650002,39.299557,472441
2016-01-19,40.000000,41.250000,38.400002,41.000000,40.637623,1130689
2016-01-20,40.500000,40.900002,39.200001,40.250000,39.894253,570766
2016-01-21,40.799999,41.400002,39.900002,40.849998,40.488949,944950
2016-01-22,41.700001,42.049999,41.000000,41.750000,41.380993,336078
2016-01-25,42.000000,42.200001,41.000000,41.250000,40.885414,1871939
2016-01-27,41.250000,41.650002,40.900002,41.150002,40.786301,1181082
2016-01-28,41.349998,41.549999,40.250000,40.750000,40.389832,2656675
2016-01-29,40.950001,41.000000,39.799999,40.500000,40.142040,850319
2016-02-01,40.700001,41.000000,39.000000,40.349998,39.993366,846124
2016-02-02,40.549999,41.650002,40.299999,40.750000,40.389832,1122236
2016-02-03,40.450001,41.599998,39.299999,40.349998,39.993366,679391
2016-02-04,41.400002,42.049999,40.049999,41.150002,40.786301,780105
2016-02-05,41.299999,43.950001,40.950001,43.700001,43.313759,1198530
2016-02-08,44.000000,44.400002,42.599998,43.049999,42.669506,970537
2016-02-09,42.400002,43.549999,42.200001,42.549999,42.173923,1251470
2016-02-10,42.549999,43.750000,40.700001,43.250000,42.867737,606382
2016-02-11,43.250000,43.250000,39.000000,39.599998,39.249992,1323547
2016-02-12,39.599998,39.900002,34.799999,37.900002,37.565025,2104888
2016-02-15,38.049999,42.250000,38.049999,41.200001,40.835857,1148296
2016-02-16,42.000000,42.299999,39.099998,39.650002,39.299557,940937
2016-02-17,40.000000,40.299999,38.200001,40.000000,39.646461,759947
2016-02-18,40.750000,40.950001,39.450001,40.500000,40.142040,361195
2016-02-19,40.450001,41.349998,40.099998,41.000000,40.637623,537949
2016-02-22,42.000000,42.000000,40.349998,40.750000,40.389832,271392
2016-02-23,40.650002,40.700001,38.849998,39.049999,38.704857,313041
2016-02-24,39.000000,39.549999,38.299999,38.700001,38.357952,298062
2016-02-25,39.299999,39.299999,37.049999,37.200001,36.871208,427840
2016-02-26,37.500000,38.000000,37.000000,37.400002,37.069443,504975
2016-02-29,37.900002,37.950001,36.299999,37.500000,37.168560,460046
2016-03-01,37.500000,38.549999,37.400002,38.349998,38.011044,533960
2016-03-02,39.000000,40.450001,38.950001,39.900002,39.547348,530136
2016-03-03,40.200001,40.450001,39.450001,39.950001,39.596905,345996
2016-03-04,40.000000,40.900002,39.549999,40.650002,40.290718,377586
2016-03-08,40.650002,40.900002,39.900002,40.049999,39.696018,298326
