Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,815.000000,815.000000,790.099976,795.599976,793.984558,23978
2015-09-04,790.500000,794.650024,758.000000,761.250000,759.704346,20910
2015-09-07,765.000000,765.000000,748.000000,750.250000,748.726685,48016
2015-09-08,752.000000,757.450012,715.400024,731.049988,729.565613,64613
2015-09-09,742.650024,753.049988,736.099976,742.650024,741.142151,39477
2015-09-10,735.150024,751.000000,724.250000,742.750000,741.241882,26912
2015-09-11,745.000000,760.900024,741.000000,747.349976,745.832520,25317
2015-09-14,750.000000,755.000000,744.500000,749.650024,748.127930,13393
2015-09-15,750.000000,760.000000,745.150024,751.650024,750.123840,10971
2015-09-16,752.000000,752.000000,735.000000,740.849976,739.345703,9280
2015-09-18,740.849976,750.000000,735.549988,737.049988,735.553467,17514
2015-09-21,741.000000,766.000000,729.000000,761.200012,759.654419,28233
2015-09-22,766.400024,783.000000,743.000000,744.900024,743.387573,19191
2015-09-23,740.049988,763.450012,735.000000,754.700012,753.167664,16766
2015-09-24,753.599976,774.900024,753.250000,770.049988,768.486450,19868
2015-09-28,770.049988,785.599976,762.299988,764.000000,762.448730,17086
2015-09-29,760.000000,760.000000,741.000000,749.049988,747.529114,7200
2015-09-30,752.950012,761.500000,740.000000,741.450012,739.944519,14486
2015-10-01,745.000000,751.000000,735.000000,736.750000,735.254089,14957
2015-10-05,736.750000,745.450012,727.150024,731.250000,729.765259,20194
2015-10-06,730.000000,742.299988,726.950012,728.849976,727.370117,18947
2015-10-07,729.500000,732.250000,711.099976,713.900024,712.450500,20963
2015-10-08,712.900024,732.849976,703.950012,715.299988,713.847595,25339
2015-10-09,730.000000,731.700012,717.599976,723.500000,722.031006,22743
2015-10-12,725.000000,725.000000,714.900024,721.900024,720.434265,10553
2015-10-13,719.950012,741.000000,719.400024,735.599976,734.106384,32746
2015-10-14,735.000000,744.000000,735.000000,741.400024,739.894653,10807
