Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,22.700001,23.049999,22.250000,22.850000,20.627071,149478
2015-09-04,22.600000,22.750000,22.000000,22.400000,20.627071,190805
2015-09-07,23.000000,23.000000,21.900000,22.400000,20.627071,154344
2015-09-08,21.200001,22.500000,21.200001,22.100000,20.350815,347797
2015-09-09,22.500000,22.500000,20.100000,21.200001,19.522049,1068920
2015-09-10,21.200001,21.200001,19.750000,20.750000,19.107666,731329
2015-09-11,20.950001,21.700001,20.200001,21.500000,19.798302,1033451
2015-09-14,22.200001,23.150000,21.600000,22.650000,20.857285,677132
2015-09-15,23.400000,26.150000,21.900000,24.400000,22.468771,6548935
2015-09-16,25.450001,25.799999,24.350000,24.500000,22.560858,1404506
2015-09-18,24.500000,25.600000,24.000000,25.049999,23.067324,578335
2015-09-21,25.000000,25.000000,23.950001,24.350000,22.422731,378203
2015-09-22,24.000000,24.500000,22.900000,23.049999,21.225622,1652428
2015-09-23,22.850000,23.250000,22.200001,22.850000,21.041454,406608
2015-09-24,null,null,null,null,null,null
2015-09-28,22.549999,23.500000,22.549999,23.000000,21.179585,252219
2015-09-29,22.850000,23.650000,22.200001,23.049999,21.225622,213606
2015-09-30,23.450001,24.250000,23.250000,24.049999,22.146475,1878156
2015-10-01,24.450001,24.750000,23.049999,23.350000,21.501879,452758
2015-10-05,23.350000,24.200001,23.350000,24.100000,22.192518,145817
2015-10-06,24.350000,24.950001,23.850000,24.600000,22.652943,281754
2015-10-07,24.850000,25.400000,24.400000,24.750000,22.791067,387700
2015-10-08,24.750000,24.950001,24.250000,24.350000,22.422731,268461
2015-10-09,24.350000,25.150000,24.350000,24.750000,22.791067,219283
2015-10-12,24.850000,25.000000,24.400000,24.450001,22.514814,170815
2015-10-13,24.750000,24.750000,24.000000,24.450001,22.514814,378699
2015-10-14,24.500000,24.500000,24.049999,24.100000,22.192518,223832
2015-10-15,24.450001,24.500000,24.049999,24.100000,22.192518,165584
2015-10-16,23.700001,24.450001,23.600000,24.299999,22.376688,181137
2015-10-19,24.049999,24.350000,23.799999,24.200001,22.284601,178155
2015-10-20,24.250000,24.900000,24.049999,24.500000,22.560858,173068
2015-10-21,24.650000,24.850000,23.700001,24.049999,22.146475,326778
2015-10-23,24.049999,24.500000,23.850000,23.950001,22.054390,225302
2015-10-26,24.000000,24.200001,23.900000,24.000000,22.100431,150158
2015-10-27,23.799999,24.500000,23.799999,24.299999,22.376688,196775
2015-10-28,24.200001,25.250000,23.850000,24.799999,22.837112,386696
2015-10-29,null,null,null,null,null,null
2015-10-30,null,null,null,null,null,null
2015-11-02,24.100000,24.350000,23.750000,24.100000,22.192518,131717
2015-11-03,24.299999,24.450001,23.950001,24.200001,22.284601,135497
2015-11-04,24.100000,24.600000,23.350000,23.450001,21.593964,4234189
2015-11-05,23.650000,23.750000,22.750000,23.100000,21.271667,432338
2015-11-06,22.700001,23.200001,22.500000,22.900000,21.087494,135875
2015-11-09,23.049999,23.049999,22.500000,22.900000,21.087494,265975
2015-11-10,22.900000,22.900000,22.500000,22.549999,20.765200,112830
2015-11-13,22.549999,23.400000,22.549999,23.049999,21.225622,105124
2015-11-16,null,null,null,null,null,null
2015-11-17,null,null,null,null,null,null
2015-11-18,null,null,null,null,null,null
2015-11-19,22.799999,23.100000,22.799999,22.900000,21.087494,156833
2015-11-20,22.799999,23.000000,22.400000,22.500000,20.719156,652170
2015-11-23,23.000000,23.000000,22.450001,22.650000,20.857285,323849
2015-11-24,22.650000,22.850000,22.150000,22.400000,21.045185,1259395
2015-11-26,22.400000,25.700001,22.299999,25.299999,23.769785,13715488
2015-11-27,25.850000,26.200001,25.000000,25.549999,24.004663,2200136
2015-11-30,25.700001,27.100000,25.200001,26.549999,24.944181,1741523
2015-12-01,26.799999,27.200001,26.100000,26.650000,25.038134,1002020
2015-12-02,26.750000,27.500000,25.799999,27.200001,25.554871,1267255
2015-12-03,27.000000,28.049999,26.600000,26.799999,25.179060,863567
2015-12-04,26.600000,27.500000,25.750000,26.100000,24.521400,518930
2015-12-07,26.600000,26.950001,26.100000,26.400000,24.803255,299705
2015-12-08,26.350000,26.950001,26.000000,26.150000,24.568373,500474
2015-12-09,26.000000,26.350000,24.900000,25.299999,23.769785,684128
2015-12-10,25.299999,25.850000,24.600000,25.600000,24.051641,606266
