Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,107.000000,107.000000,103.050003,104.199997,96.635262,13362
2015-09-07,105.150002,105.849998,103.400002,104.699997,97.098969,4462
2015-09-08,105.000000,105.500000,103.449997,104.250000,96.681641,7056
2015-09-09,106.699997,107.199997,104.500000,105.699997,98.026360,18781
2015-09-10,105.000000,108.000000,103.199997,106.400002,98.675545,14200
2015-09-11,104.099998,110.000000,104.099998,107.500000,99.695686,31225
2015-09-14,106.000000,107.000000,98.000000,104.150002,96.588898,23723
2015-09-15,105.349998,105.349998,102.199997,104.050003,96.496155,18344
2015-09-16,104.949997,107.900002,104.349998,107.050003,99.278366,17765
2015-09-18,107.050003,109.000000,104.000000,107.000000,99.231995,18885
2015-09-21,108.500000,111.349998,107.099998,110.800003,102.756126,23846
2015-09-22,112.500000,114.900002,110.099998,110.550003,102.524277,16467
2015-09-23,110.550003,111.949997,109.150002,111.500000,103.405304,17386
2015-09-24,null,null,null,null,null,null
2015-09-28,110.750000,114.650002,110.750000,111.900002,103.776260,10520
2015-09-29,113.000000,116.000000,110.199997,111.199997,103.127075,58059
2015-09-30,112.099998,112.349998,109.300003,110.300003,102.292419,26298
2015-10-01,null,null,null,null,null,null
2015-10-05,null,null,null,null,null,null
2015-10-06,115.500000,116.800003,114.300003,114.650002,106.326622,16676
2015-10-07,115.400002,126.599998,114.550003,118.599998,109.989845,193410
2015-10-08,118.550003,119.500000,116.099998,116.849998,108.366898,19684
2015-10-09,119.000000,123.800003,117.000000,119.800003,111.102745,132867
2015-10-12,120.000000,121.650002,118.699997,120.250000,111.520058,32737
2015-10-13,120.500000,122.900002,120.000000,121.699997,112.864792,45484
2015-10-14,122.050003,125.099998,122.050003,123.699997,114.719597,46226
2015-10-15,125.000000,127.849998,123.900002,125.050003,115.971603,40666
2015-10-16,122.699997,128.100006,122.699997,126.050003,116.899002,33391
2015-10-19,127.550003,127.900002,121.500000,122.050003,113.189392,59625
2015-10-20,122.900002,125.500000,122.199997,124.900002,115.832474,33848
2015-10-21,126.449997,126.800003,125.500000,126.500000,117.316322,21266
2015-10-23,126.500000,127.449997,124.099998,124.750000,115.693367,18371
2015-10-26,125.000000,125.250000,123.250000,123.900002,114.905083,10090
2015-10-27,124.000000,125.000000,122.400002,123.349998,114.395012,17387
2015-10-28,126.000000,126.300003,124.099998,125.000000,115.925232,14441
2015-10-29,null,null,null,null,null,null
2015-10-30,null,null,null,null,null,null
2015-11-02,118.900002,118.900002,114.000000,114.599998,106.280251,34226
2015-11-03,115.949997,116.400002,113.500000,113.900002,105.631065,12845
2015-11-04,114.650002,120.800003,113.949997,118.699997,110.082588,43939
2015-11-05,121.900002,121.900002,114.849998,117.650002,109.108818,266617
2015-11-06,117.199997,118.500000,114.099998,115.250000,106.883049,14841
2015-11-09,113.000000,116.500000,110.250000,112.150002,104.008110,31341
2015-11-10,111.550003,113.550003,111.349998,111.949997,103.822624,77884
2015-11-13,111.949997,113.150002,111.050003,111.900002,103.776260,13192
2015-11-16,110.000000,114.650002,110.000000,114.050003,105.770172,18348
2015-11-17,null,null,null,null,null,null
2015-11-18,117.099998,118.800003,115.849998,116.500000,108.042313,15646
2015-11-19,119.000000,123.199997,118.500000,119.599998,110.917252,54010
2015-11-20,null,null,null,null,null,null
2015-11-23,118.000000,120.599998,118.000000,119.050003,110.407188,4741
2015-11-24,119.500000,121.000000,117.800003,120.300003,111.566437,12115
2015-11-26,120.300003,120.500000,115.500000,116.400002,107.949570,30382
2015-11-27,117.550003,119.800003,113.699997,114.349998,106.048393,70741
2015-11-30,116.900002,118.199997,113.800003,117.000000,108.506004,25327
2015-12-01,117.000000,120.449997,117.000000,118.199997,109.618889,44572
2015-12-02,120.000000,120.599998,117.500000,119.699997,111.009987,16313
2015-12-03,119.500000,122.449997,117.550003,120.550003,111.798286,35000
2015-12-04,119.849998,121.500000,117.949997,120.250000,111.520058,12318
2015-12-07,120.300003,129.649994,120.300003,124.599998,115.554260,107789
2015-12-08,124.150002,127.449997,121.099998,123.050003,114.116791,28175
2015-12-09,122.449997,123.500000,118.099998,122.050003,113.189392,22607
2015-12-10,122.449997,123.699997,120.000000,123.099998,114.163155,19961
2015-12-11,123.099998,124.900002,120.849998,123.849998,114.858711,14948
2015-12-14,122.199997,124.599998,121.550003,122.650002,113.745827,40326
2015-12-15,121.199997,125.550003,121.199997,124.300003,115.276039,23460
2015-12-16,122.400002,124.250000,122.000000,123.550003,114.580490,20314
2015-12-17,123.550003,127.849998,123.550003,124.849998,115.786102,22466
2015-12-18,124.800003,124.900002,122.800003,123.250000,114.302269,18677
2015-12-21,123.500000,124.599998,120.800003,121.099998,112.308350,18620
2015-12-22,122.300003,122.949997,118.250000,120.050003,111.334587,17436
2015-12-23,120.599998,120.599998,118.949997,119.800003,111.102745,13503
2015-12-24,120.050003,122.250000,118.699997,119.800003,111.102745,11750
2015-12-28,119.800003,121.900002,117.000000,120.000000,111.288216,29355
2015-12-29,120.750000,120.750000,114.000000,115.650002,107.254021,60559
2015-12-30,null,null,null,null,null,null
2015-12-31,115.949997,115.949997,114.500000,114.900002,106.558464,8715
2016-01-01,116.250000,118.300003,116.199997,116.949997,108.459633,9930
2016-01-04,117.300003,118.300003,114.150002,115.000000,106.651207,21744
2016-01-05,116.000000,117.900002,114.000000,114.650002,106.326622,13803
2016-01-06,114.900002,117.250000,114.550003,116.800003,108.320526,10450
2016-01-07,116.750000,116.750000,111.550003,115.150002,106.790321,22892
2016-01-08,116.750000,117.349998,110.650002,113.750000,105.491959,2009085
2016-01-11,114.500000,115.500000,111.849998,113.900002,105.631065,8229
2016-01-12,116.000000,116.000000,111.000000,112.000000,103.869003,97969
2016-01-13,112.150002,116.000000,100.449997,107.400002,99.602951,8591032
2016-01-14,107.400002,115.400002,106.599998,114.150002,105.862915,115639
