Date,Open,High,Low,Close,Adj Close,Volume
2015-09-04,731.549988,736.549988,695.000000,706.299988,704.736694,6262
2015-09-07,693.500000,703.450012,684.049988,687.950012,686.427307,51035
2015-09-08,692.700012,693.000000,649.950012,667.000000,665.523682,27404
2015-09-09,677.250000,687.200012,660.000000,664.500000,663.029236,11316
2015-09-10,655.349976,662.650024,645.200012,650.799988,649.359558,4522
2015-09-11,660.900024,673.200012,651.099976,660.500000,659.038086,1438
2015-09-14,662.400024,667.400024,645.000000,650.049988,648.611206,15099
2015-09-15,654.549988,660.000000,643.150024,658.299988,656.842957,36009
2015-09-16,667.250000,679.000000,630.250000,635.299988,633.893860,7639
2015-09-18,635.299988,670.000000,635.000000,665.049988,663.578003,14359
2015-09-21,661.900024,683.650024,655.150024,678.849976,677.347412,9935
2015-09-22,679.049988,689.000000,670.000000,676.400024,674.902893,6550
2015-09-23,667.700012,706.299988,656.049988,699.400024,697.851990,6435
2015-09-24,null,null,null,null,null,null
2015-09-28,697.599976,711.700012,694.900024,699.349976,697.802063,1746
2015-09-29,672.500000,720.000000,672.500000,713.950012,712.369812,7254
2015-09-30,720.900024,751.000000,719.549988,734.500000,732.874268,11459
2015-10-01,null,null,null,null,null,null
2015-10-05,null,null,null,null,null,null
2015-10-06,738.900024,738.900024,718.000000,723.200012,721.599304,30475
2015-10-07,728.000000,738.000000,711.000000,729.200012,727.586060,22267
2015-10-08,726.349976,732.799988,722.000000,727.799988,726.189087,1038
2015-10-09,744.000000,759.000000,691.000000,718.849976,717.258911,14893
2015-10-12,719.900024,723.849976,695.900024,704.000000,702.441772,2780
2015-10-13,708.849976,708.849976,692.650024,702.250000,700.695679,2112
2015-10-14,703.900024,712.500000,695.000000,708.299988,706.732239,3615
2015-10-15,709.000000,715.000000,697.000000,703.000000,701.444031,3373
2015-10-16,703.000000,709.950012,693.250000,697.150024,695.606995,2475
2015-10-19,701.650024,710.450012,690.000000,695.000000,693.461731,6533
2015-10-20,699.650024,700.599976,687.450012,693.200012,691.665710,2989
2015-10-21,694.849976,694.849976,680.099976,690.500000,688.971680,3947
2015-10-23,690.500000,692.500000,684.000000,686.500000,684.980530,905
2015-10-26,693.250000,699.000000,683.950012,697.000000,695.457275,1405
2015-10-27,695.849976,704.000000,686.000000,697.250000,695.706726,3298
2015-10-28,697.000000,707.049988,697.000000,702.750000,701.194580,1767
2015-10-29,null,null,null,null,null,null
2015-10-30,701.000000,709.000000,700.250000,704.650024,703.090393,10614
2015-11-02,710.900024,713.849976,694.150024,704.450012,702.890808,6629
2015-11-03,704.000000,710.950012,700.349976,706.049988,704.487244,4706
2015-11-04,709.099976,713.200012,688.000000,698.250000,696.704529,10228
2015-11-05,690.049988,709.000000,684.000000,689.500000,687.973877,27648
2015-11-06,693.849976,693.900024,683.000000,691.650024,690.119141,2165
2015-11-09,686.250000,699.650024,679.000000,685.400024,683.882996,4389
2015-11-10,682.400024,683.500000,664.900024,670.250000,668.766479,4781
2015-11-13,670.250000,670.250000,645.000000,650.900024,649.459351,8035
2015-11-16,650.000000,650.000000,639.000000,643.299988,641.876160,10232
2015-11-17,652.799988,653.200012,636.450012,651.200012,649.758667,3878
2015-11-18,651.400024,651.650024,635.000000,638.950012,637.535767,2484
2015-11-19,643.099976,695.000000,643.099976,684.599976,683.084717,5739
2015-11-20,null,null,null,null,null,null
2015-11-23,685.000000,690.000000,672.000000,680.450012,678.943909,4858
2015-11-24,681.000000,683.950012,671.299988,678.750000,677.247681,1961
2015-11-26,678.750000,708.299988,678.750000,689.250000,687.724426,4987
2015-11-27,688.500000,710.000000,688.500000,706.099976,704.537109,3239
2015-11-30,705.000000,731.750000,693.450012,725.049988,723.445190,5212
2015-12-01,728.950012,728.950012,705.000000,709.099976,707.530457,2535
2015-12-02,715.500000,717.200012,685.200012,692.299988,690.767700,2834
2015-12-03,687.650024,689.849976,675.000000,678.950012,677.447266,7277
2015-12-04,679.000000,682.900024,661.250000,669.400024,667.918396,5070
2015-12-07,670.000000,674.450012,642.599976,647.599976,646.166626,14681
2015-12-08,649.200012,650.000000,635.200012,649.200012,647.763123,6347
2015-12-09,647.000000,649.799988,636.099976,639.900024,638.483704,2118
2015-12-10,647.000000,649.799988,634.849976,635.250000,633.843994,5206
2015-12-11,635.000000,635.349976,612.299988,617.950012,616.582275,7520
2015-12-14,616.000000,632.000000,607.750000,617.849976,616.482422,9105
2015-12-15,623.900024,640.000000,620.000000,635.900024,634.492554,3834
2015-12-16,642.400024,642.400024,628.200012,633.450012,632.047974,4157
2015-12-17,641.150024,650.400024,635.250000,647.500000,646.066833,4339
2015-12-18,647.500000,659.000000,630.200012,638.400024,636.987000,2862
2015-12-21,638.000000,649.000000,625.599976,646.549988,645.118958,2135
2015-12-22,645.049988,657.549988,645.049988,652.200012,650.756470,4112
2015-12-23,651.900024,655.099976,634.000000,650.450012,649.010315,17655
2015-12-24,657.450012,657.450012,647.000000,650.200012,648.760864,1906
2015-12-28,650.200012,666.950012,644.000000,662.400024,660.933899,6496
2015-12-29,665.000000,680.000000,657.299988,674.150024,672.657898,9435
2015-12-30,673.500000,678.049988,664.049988,669.599976,668.117920,3230
2015-12-31,670.849976,691.799988,664.099976,685.950012,684.431763,7158
2016-01-01,691.799988,701.700012,680.500000,699.200012,697.652405,3401
2016-01-04,702.000000,702.099976,660.200012,679.500000,677.996033,6271
2016-01-05,680.000000,687.950012,659.900024,661.450012,659.985962,6927
2016-01-06,665.000000,669.750000,658.349976,662.400024,660.933899,3941
2016-01-07,662.000000,670.000000,650.049988,659.700012,658.239868,4154
2016-01-08,660.000000,672.000000,645.400024,649.900024,648.461548,4683
2016-01-11,631.000000,647.099976,628.349976,641.250000,639.830688,2257
2016-01-12,636.000000,637.000000,622.000000,628.250000,626.859436,7044
2016-01-13,620.349976,623.549988,609.500000,619.950012,618.577820,15749
2016-01-14,611.099976,617.500000,609.900024,613.150024,611.792908,4102
2016-01-15,609.849976,621.000000,605.000000,606.150024,604.808411,7842
2016-01-18,612.000000,612.000000,577.200012,580.000000,578.716248,9374
2016-01-19,577.500000,583.349976,570.950012,577.500000,576.221802,2116
2016-01-20,570.000000,604.900024,569.900024,594.299988,592.984619,1973
2016-01-21,629.950012,629.950012,599.950012,617.900024,616.532410,8924
2016-01-22,614.099976,629.500000,614.000000,620.000000,618.627747,3479
2016-01-25,620.150024,635.049988,620.150024,625.000000,623.616638,1180
2016-01-27,625.000000,643.650024,621.900024,634.599976,633.195374,1130
