Date,Open,High,Low,Close,Adj Close,Volume
2015-09-03,367.382996,374.334991,366.240997,367.681000,367.681000,116485
2015-09-04,367.183990,369.964996,352.037994,364.751007,364.751007,146261
2015-09-07,367.481995,370.213989,344.588989,345.781006,345.781006,115056
2015-09-08,349.307007,363.212006,343.148987,359.089996,359.089996,150436
2015-09-09,363.609009,367.283997,361.572998,364.751007,364.751007,63653
2015-09-10,360.529999,360.778015,350.648010,355.614014,355.614014,113490
2015-09-11,358.941010,371.454987,358.941010,366.191010,366.191010,109366
2015-09-14,367.382996,371.256989,364.403015,365.644989,365.644989,72863
2015-09-15,365.993011,374.931000,364.601990,367.084991,367.084991,90465
2015-09-16,368.971985,373.937988,363.510010,366.440002,366.440002,75900
2015-09-18,366.440002,379.002991,366.440002,372.497986,372.497986,96665
2015-09-21,374.334991,382.380005,371.703003,379.450012,379.450012,69050
2015-09-22,387.494995,401.996002,381.783997,384.515991,384.515991,223347
2015-09-23,384.466003,390.325989,379.450012,384.316986,384.316986,269488
2015-09-24,385.161011,388.835999,381.386993,383.273987,383.273987,227366
2015-09-28,383.273987,383.273987,365.993011,373.243011,373.243011,248363
2015-09-29,371.404999,376.917999,363.510010,373.838989,373.838989,207658
2015-09-30,385.359985,391.617004,380.045990,381.585999,381.585999,249022
2015-10-01,382.579010,388.041992,379.897003,381.536011,381.536011,250509
2015-10-05,381.536011,388.786011,380.790985,382.131989,382.131989,284386
2015-10-06,383.273987,388.338989,380.394012,381.734985,381.734985,187540
2015-10-07,383.373993,394.746002,378.656006,390.821991,390.821991,253682
2015-10-08,392.213013,393.256012,381.187988,383.968994,383.968994,240047
2015-10-09,386.253998,386.352997,378.903992,380.394012,380.394012,123468
2015-10-12,382.727997,383.373993,373.789001,375.428009,375.428009,85919
2015-10-13,373.441986,379.351013,372.945007,375.377991,375.377991,122948
2015-10-14,375.825012,378.804993,372.596985,373.789001,373.789001,83762
2015-10-15,375.329010,377.115997,371.454987,372.696991,372.696991,112602
2015-10-16,374.136993,374.632996,370.760010,371.951996,371.951996,74130
2015-10-19,371.553986,387.196991,371.553986,381.983002,381.983002,219286
2015-10-20,387.494995,391.666992,382.480011,384.565002,384.565002,260421
2015-10-21,385.359985,386.253998,379.648987,381.585999,381.585999,95477
2015-10-23,381.585999,385.756989,380.394012,381.536011,381.536011,124423
2015-10-26,380.742004,402.641998,377.414001,395.639008,395.639008,371118
2015-10-27,396.285004,404.032013,393.454010,398.669006,398.669006,280308
2015-10-28,399.015991,399.015991,385.558990,389.580994,389.580994,117596
2015-10-29,393.802002,408.402008,393.703003,397.029999,397.029999,286247
2015-10-30,396.285004,399.562988,374.434998,383.273987,383.273987,108591
2015-11-02,380.890991,391.319000,374.632996,389.679993,389.679993,147241
2015-11-03,391.020996,392.660004,383.373993,386.949005,386.949005,160726
