Date,Open,Close,Pct_change_OC
"Nov 11, 2016",81.2,78.79,-2.9679802955664982
"Nov 15, 2016",79.15,74.9,-5.369551484523058
"Nov 16, 2016",76.0,75.1,-1.184210526315797
"Nov 17, 2016",75.25,76.45,1.5946843853820634
"Nov 18, 2016",76.7,78.59,2.464146023468058
"Nov 21, 2016",79.4,74.71,-5.90680100755669
"Nov 22, 2016",74.25,74.76,0.6868686868686937
"Nov 23, 2016",76.5,74.46,-2.666666666666675
"Nov 24, 2016",74.8,72.86,-2.593582887700532
"Nov 25, 2016",73.9,76.15,3.044654939106901
"Nov 28, 2016",77.1,78.04,1.2191958495460598
"Nov 29, 2016",79.0,80.43,1.8101265822784898
"Nov 30, 2016",81.7,79.83,-2.2888616891064926
"Dec 01, 2016",80.8,77.84,-3.6633663366336555
"Dec 02, 2016",78.05,76.65,-1.7937219730941596
"Dec 05, 2016",76.85,78.74,2.459336369551074
"Dec 06, 2016",80.4,79.78,-0.7711442786069708
"Dec 07, 2016",80.5,79.09,-1.7515527950310517
"Dec 08, 2016",80.3,80.08,-0.2739726027397246
"Dec 09, 2016",81.8,80.63,-1.4303178484107602
"Dec 12, 2016",81.0,81.37,0.4567901234567957
"Dec 13, 2016",82.5,82.72,0.2666666666666653
"Dec 14, 2016",83.9,82.52,-1.644815256257461
"Dec 15, 2016",82.5,82.92,0.5090909090909111
"Dec 16, 2016",83.95,82.12,-2.1798689696247746
"Dec 19, 2016",82.5,81.32,-1.4303030303030384
"Dec 20, 2016",81.45,80.58,-1.068139963167593
"Dec 21, 2016",81.5,80.58,-1.1288343558282228
"Dec 22, 2016",80.4,78.49,-2.375621890547277
"Dec 23, 2016",78.7,77.64,-1.3468869123252887
"Dec 26, 2016",78.0,75.5,-3.205128205128205
"Dec 27, 2016",75.9,76.45,0.7246376811594165
"Dec 28, 2016",77.45,77.89,0.5681084570690739
"Dec 29, 2016",78.3,79.63,1.698595146871007
"Dec 30, 2016",80.2,80.08,-0.14962593516210043
"Jan 02, 2017",80.95,83.32,2.9277331686225945
"Jan 03, 2017",84.7,83.56,-1.3459268004722555
"Jan 04, 2017",84.7,85.31,0.7201889020070832
"Jan 05, 2017",86.2,85.85,-0.40603248259861774
"Jan 06, 2017",86.95,82.77,-4.807360552041411
"Jan 09, 2017",83.6,81.77,-2.188995215311003
"Jan 10, 2017",82.95,82.57,-0.4581072935503432
"Jan 11, 2017",83.5,82.52,-1.1736526946107833
"Jan 12, 2017",82.75,82.62,-0.15709969788519088
"Jan 13, 2017",83.0,83.46,0.554216867469872
"Jan 16, 2017",84.25,83.37,-1.044510385756671
"Jan 17, 2017",83.9,82.37,-1.8235995232419562
"Jan 18, 2017",82.7,82.27,-0.519951632406296
"Jan 19, 2017",82.9,81.72,-1.423401688781673
"Jan 20, 2017",82.2,79.33,-3.4914841849148477
"Jan 23, 2017",79.7,78.29,-1.7691342534504348
"Jan 24, 2017",79.1,79.63,0.6700379266750963
"Jan 25, 2017",80.35,81.13,0.9707529558182965
"Jan 27, 2017",81.5,83.61,2.588957055214723
"Jan 30, 2017",85.9,84.26,-1.9091967403958097
"Jan 31, 2017",85.0,82.57,-2.8588235294117728
"Feb 01, 2017",83.85,84.21,0.4293381037567078
"Feb 02, 2017",85.0,83.71,-1.5176470588235367
"Feb 03, 2017",84.7,84.71,0.011806375442728341
"Feb 06, 2017",86.1,87.3,1.393728222996519
"Feb 07, 2017",88.6,85.9,-3.0474040632054047
"Feb 08, 2017",86.9,86.55,-0.4027617951668682
"Feb 09, 2017",87.95,87.0,-1.0801591813530447
"Feb 10, 2017",88.0,86.5,-1.7045454545454544
"Feb 13, 2017",87.35,84.91,-2.793360045792785
"Feb 14, 2017",85.95,83.91,-2.373472949389187
"Feb 15, 2017",84.6,80.18,-5.224586288416061
"Feb 16, 2017",81.0,81.72,0.8888888888888875
"Feb 17, 2017",82.65,82.02,-0.7622504537205198
"Feb 20, 2017",82.15,83.42,1.5459525258673108
"Feb 21, 2017",84.45,83.42,-1.2196566015393737
"Feb 22, 2017",83.8,82.52,-1.527446300715992
"Feb 23, 2017",83.4,81.42,-2.3741007194244648
"Feb 27, 2017",81.8,80.88,-1.1246943765281194
"Feb 28, 2017",81.75,83.17,1.7370030581039777
"Mar 01, 2017",84.0,82.57,-1.7023809523809603
"Mar 02, 2017",83.5,80.63,-3.4371257485029996
"Mar 03, 2017",81.0,79.18,-2.246913580246905
"Mar 06, 2017",79.5,80.03,0.6666666666666681
"Mar 07, 2017",80.55,79.58,-1.2042209807572921
"Mar 08, 2017",79.95,78.04,-2.3889931207004333
"Mar 09, 2017",78.4,78.89,0.6249999999999934
"Mar 10, 2017",80.0,78.39,-2.0124999999999993
"Mar 14, 2017",78.75,79.09,0.43174603174603604
"Mar 15, 2017",79.35,80.73,1.7391304347826209
"Mar 16, 2017",81.45,82.22,0.945365254757515
"Mar 17, 2017",83.4,81.82,-1.8944844124700388
"Mar 20, 2017",82.45,83.56,1.3462704669496657
"Mar 21, 2017",83.5,82.22,-1.5329341317365284
"Mar 22, 2017",81.95,81.03,-1.1226357535082387
