Scrip Code,COMPANY,Symbol
532683,AIA Engineering Ltd,AIAENG
533573,Alembic Pharmaceuticals Ltd,APLLTD
500877,Apollo Tyres Ltd,APOLLOTYRE
500101,Arvind Limited,ARVIND
500027,Atul Ltd.,ATUL
502355,Balkrishna Industries Ltd,BALKRISIND
500043,Bata India Ltimited,BATAINDIA
533228,Bharat Financial Inclusion Ltd,BHARATFIN
534804,CARE Ratings Ltd,CARERATING
500040,Century Textile & Industries Ltd,CENTURYTEX
500084,CESC Ltd,CESC
511243,Cholamandalam Investment & Finance Co. Ltd.,CHOLAFIN
533309,Dalmia Bharat Ltd,DALMIABHA
532772,DCB Bank Ltd,DCBBANK
511072,Dewan Housing Finance Corp Ltd,DHFL
532839,Dish TV India Ltd,DISHTV
532927,eClerx Services Ltd,ECLERX
532922,Edelweiss Financial Services Ltd,EDELWEISS
532178,Engineers India Ltd,ENGINERSIN
500469,Federal Bank Ltd,FEDERALBNK
532843,Fortis Healthcare Ltd.,FORTIS
532622,Gateway Distriparks Ltd,GDL
511288,GRUH Finance Ltd.,GRUH
533248,Gujarat Pipavav Port Ltd,GPPL
532702,Gujarat State Petronet Ltd,GSPL
532659,IDFC Limited,IDFC
530005,India Cements Ltd,INDIACEM
532514,Indraprastha Gas Ltd,IGL
524494,Ipca Laboratories Ltd,IPCALAB
532947,IRB Infrastructure Developers Ltd,IRB
500219,Jain Irrigation Systems Ltd,JISLJALEQS
533155,Jubilant FoodWorks Ltd,JUBLFOOD
530019,Jubilant Life Sciences Ltd,JUBILANT
500233,Kajaria Ceramics Ltd.,KAJARIACER
532400,KPIT Technologies Ltd,KPIT
531213,Manappuram Finance Ltd,MANAPPURAM
532819,MindTree Ltd,MINDTREE
534091,Multi Commodity Exchange of India Limited,MCX
533398,Muthoot Finance Ltd,MUTHOOTFIN
524816,Natco Pharma Ltd,NATCOPHARM
500294,NCC Ltd/India,NCC
533179,Persistent Systems Ltd,PERSISTENT
523642,PI Industries Ltd,PIIND
532689,PVR Ltd,PVR
500355,Rallis India Ltd,RALLIS
532805,Redington India Ltd,REDINGTON
535322,Repco Home Finance Ltd.,REPCOHOME
532218,South Indian Bank Ltd,SOUTHBANK
503806,SRF Ltd,SRF
532531,Strides Shasun Ltd,STAR BSE
532872,Sun Pharma Advanced Research Co Ltd,SPARC
532667,Suzlon Energy Ltd,SUZLON
500408,Tata Elxsi Ltd,TATAELXSI
532800,TV18 Broadcast Ltd,TV18BRDCST
511431,Vakrangee Ltd,VAKRANGEE
500575,Voltas Ltd,VOLTAS
533023,WABCO India Ltd,WABCOINDIA
